source,term_name,term_id,p_value,term_size,intersection_size,query_set,cell_type,dir
GO:BP,vesicle-mediated transport in synapse,GO:0099003,0.22789513171150444,186,18,Astro|down,Astro,down
GO:BP,regulation of postsynaptic density organization,GO:1905874,0.22812470734473736,17,4,Astro|down,Astro,down
GO:BP,protein localization to postsynaptic specialization membrane,GO:0099633,0.22812470734473736,26,5,Astro|down,Astro,down
GO:BP,neurotransmitter receptor localization to postsynaptic specialization membrane,GO:0099645,0.22812470734473736,26,5,Astro|down,Astro,down
GO:BP,cell recognition,GO:0008037,0.22812470734473736,81,10,Astro|down,Astro,down
GO:BP,walking behavior,GO:0090659,0.22812470734473736,26,5,Astro|down,Astro,down
GO:BP,potassium ion transport,GO:0006813,0.22812470734473736,119,13,Astro|down,Astro,down
GO:BP,positive regulation of excitatory postsynaptic potential,GO:2000463,0.22812470734473736,26,5,Astro|down,Astro,down
GO:BP,regulation of developmental process,GO:0050793,0.23106574002485605,1504,100,Astro|down,Astro,down
GO:BP,cerebral cortex development,GO:0021987,0.23296000503228673,94,11,Astro|down,Astro,down
GO:BP,regulation of muscle cell differentiation,GO:0051147,0.23296000503228673,94,11,Astro|down,Astro,down
GO:BP,negative regulation of small molecule metabolic process,GO:0062014,0.23353542019974066,58,8,Astro|down,Astro,down
GO:BP,ATP metabolic process,GO:0046034,0.2502399586963358,134,14,Astro|down,Astro,down
GO:BP,prostate gland development,GO:0030850,0.2581586615476791,27,5,Astro|down,Astro,down
GO:BP,regulation of fatty acid biosynthetic process,GO:0042304,0.2581586615476791,27,5,Astro|down,Astro,down
GO:BP,regulation of oligodendrocyte differentiation,GO:0048713,0.2581586615476791,27,5,Astro|down,Astro,down
