pathway,pval,padj,log2err,ES,NES,size,cell_type
SREBP regulation,0.34062721474131824,0.4257840184266478,0.020912266299505832,0.2668314932378872,1.0630262464387659,64,Chandelier
Sphingolipid metabolism,0.96139896373057,0.96139896373057,0.009104804029868347,0.16804963143769197,0.7292764821796991,104,Chandelier
Steroid metabolism,0.04373055251871163,0.2857142857142857,0.06246933616381435,0.27398435424326073,1.2917614145053098,180,Chandelier
Sterol biosynthesis,0.23511532272483462,0.39185887120805774,0.026219833653770237,0.3067752084433325,1.1490983714518426,47,Chandelier
Cholesterol biosynthesis,0.300260876882942,0.5050615168976795,0.021894273933372243,-0.560407761144371,-1.1557716184467255,6,Endo
Cholesterol homeostasis,0.31304094843261326,0.5050615168976795,0.01948280737726589,-0.3835350889626621,-1.120038317193527,21,Endo
Fatty acid metabolism,0.05943043320864004,0.2674369494388802,0.044833827549555394,-0.3450759091171479,-1.3382012608026808,93,Endo
Mevalonate / isoprenoid,0.33670767793178635,0.5050615168976795,0.019425305552160613,-0.449915511434081,-1.1112547084592392,11,Endo
Phospholipid metabolism,0.0022065063649222066,0.01985855728429986,0.2322809235809005,-0.3772971861239781,-1.554535372377316,152,Endo
SREBP regulation,0.6487046632124353,0.7297927461139897,0.010844537535541562,-0.27346677130386915,-0.8793446237953829,32,Endo
Sphingolipid metabolism,0.8174047175268333,0.8174047175268333,0.00771984168488287,-0.22021660490481518,-0.788897533506005,56,Endo
Steroid metabolism,0.13199731985137358,0.39599195955412075,0.02926841084496369,-0.3218327339072498,-1.238053156075327,88,Endo
Sterol biosynthesis,0.4159425493716338,0.5347832777635292,0.015978659366847375,-0.350813863764191,-1.0371654856663748,22,Endo
Cholesterol biosynthesis,0.008679593721144968,0.028931979070483227,0.1488501017132852,-0.5336243562163858,-1.7143066481201579,24,L2_3 IT
Cholesterol homeostasis,0.45953984778234624,0.5105998308692736,0.017093761711549298,-0.24947932845433834,-0.9978450131734927,64,L2_3 IT
Fatty acid metabolism,0.1741555624418965,0.24879366063128072,0.041815187340901,0.1986437419632928,1.0928848698728664,413,L2_3 IT
Lipid transport,0.7474834938846195,0.7474834938846195,0.014047831797159857,0.2510740037363471,0.8076702373744516,21,L2_3 IT
Mevalonate / isoprenoid,0.0024241335966959958,0.01212066798347998,0.2800515027349601,-0.48462530681720667,-1.783083041574097,43,L2_3 IT
Phospholipid metabolism,0.0013600220563816465,0.01212066798347998,0.45505986738722953,-0.2779192202693122,-1.4364099652716995,383,L2_3 IT
SREBP regulation,0.048402542004004526,0.08067090334000755,0.060355380791317574,-0.339218098323756,-1.3809877382735554,70,L2_3 IT
Sphingolipid metabolism,0.018512450851900394,0.04194202132346462,0.09552976855779487,-0.2946607589989956,-1.3852590713561665,166,L2_3 IT
Steroid metabolism,0.43902627511591963,0.5105998308692736,0.016196916327127907,-0.19991400217000108,-1.0036071913131108,286,L2_3 IT
Sterol biosynthesis,0.02097101066173231,0.04194202132346462,0.09305686472719873,-0.3803410540724775,-1.5018125359281198,60,L2_3 IT
Cholesterol biosynthesis,0.012548940869390623,0.03137235217347656,0.12889401621461857,-0.5193272515041292,-1.6847325979085526,23,L4 IT
