sample_id,x,y,subclass,supertype,layer,qc_pass
Br1139,2510.492024,3495.370032,Astrocyte,Astro_2,L5,True
Br1139,2547.399032,3520.139068,L5 IT,L5 IT_5,L5,True
Br1139,2505.893516,3472.003544,Oligodendrocyte,Oligo_4,L5,True
Br1139,2522.213532,3548.03606,L5 IT,L5 IT_5,L5,False
Br1139,2489.777528,3533.450088,Microglia-PVM,Micro-PVM_2_3-SEAAD,L5,True
Br1139,2516.824528,3513.585544,Endothelial,Endo_2,L5,True
Br1139,2531.15552,3658.24706,Astrocyte,Astro_2,L5,True
Br1139,2544.126512,3667.801116,L5 IT,L5 IT_2,L5,True
Br1139,2545.707528,3647.98756,VLMC,Pericyte_1,L5,True
Br1139,2499.722544,3579.741076,Sst,Sst_19,L5,True
Br1139,2473.542536,3665.948056,L5 IT,L5 IT_1,L5,True
Br1139,2482.722528,3658.28106,L4 IT,L4 IT_1,L5,True
Br1139,2459.985028,3604.824564,Pvalb,Pvalb_9,L5,True
Br1139,2516.875548,3579.911092,Sst,Sst_11,L5,True
Br1139,2539.70654,3568.665568,L5/6 NP,L5/6 NP_4,L5,True
Br1139,2545.63102,3608.734608,Astrocyte,Astro_2,L5,False
Br1139,2525.452052,3587.731032,Microglia-PVM,Micro-PVM_2_3-SEAAD,L5,True
Br1139,2530.654032,3325.701572,L5 IT,L5 IT_5,L5,True
Br1139,2499.178552,3341.265084,Unassigned,Unassigned,L5,False
Br1139,2511.41854,3329.671052,Astrocyte,Astro_2,L5,True
Br1139,2511.37602,3407.871084,Endothelial,Endo_2,L5,True
Br1139,2503.777036,3446.622572,Unassigned,Unassigned,L5,False
Br1139,2481.048024,3452.793584,L5 IT,L5 IT_2,L5,True
Br1139,2478.421524,3435.861592,L5 IT,L5 IT_7,L5,True
Br1139,2486.981048,3407.947536,L5 IT,L5 IT_5,L5,True
Br1139,2470.601524,3372.519572,L5 IT,L5 IT_5,L5,False
Br1139,2503.156536,3396.80406,L5 IT,L5 IT_5,L5,False
Br1139,2516.926536,3385.830556,Unassigned,Unassigned,L5,False
Br1139,2525.936544,3368.694544,Astrocyte,Astro_2,L5,True
Br1139,2528.537528,3457.026592,Endothelial,Endo_2,L5,True
Br1139,2543.276532,3421.309568,Microglia-PVM,Micro-PVM_2_3-SEAAD,L5,True
Br1139,2447.762048,3067.046568,L5 IT,L5 IT_5,L4,True
Br1139,2463.521028,3087.421056,Endothelial,Endo_2,L4,True
Br1139,2457.452016,3064.836592,Sst,Sst_19,L4,True
Br1139,2435.36904,3284.136568,OPC,OPC_2_1-SEAAD,L5,True
Br1139,2456.729524,3266.388544,L4 IT,L4 IT_2,L5,True
Br1139,2457.562532,3243.481056,Pvalb,Pvalb_12,L5,True
Br1139,2442.245528,3244.917552,Pvalb,Pvalb_12,L5,True
Br1139,2445.781524,3212.337112,Endothelial,Endo_2,L5,True
Br1139,2468.655028,3201.822564,Endothelial,Endo_2,L5,True
Br1139,2461.005052,3193.875036,Endothelial,Endo_1,L5,True
Br1139,2437.222016,3234.87906,Chandelier,Chandelier_1,L5,True
Br1139,2444.855036,3228.164064,Oligodendrocyte,Oligo_3,L5,True
Br1139,2449.385524,3201.695028,Endothelial,Endo_3,L5,True
Br1139,2455.531024,3179.884056,Endothelial,Endo_2,L5,True
Br1139,2456.874044,3129.64904,Oligodendrocyte,Oligo_1,L4,True
Br1139,2464.15006,3181.082568,Endothelial,Endo_2,L5,True
Br1139,2439.474512,3133.236088,Sncg,Sncg_4,L4,True
Br1139,2413.651552,3282.708536,L4 IT,L4 IT_4,L5,True
Br1139,2402.70352,3211.512592,L6 IT,L6 IT_2,L5,False
Br1139,2418.30952,3324.163068,L4 IT,L4 IT_2,L5,True
Br1139,2419.53352,3304.264536,Astrocyte,Astro_2,L5,True
Br1139,2409.75002,3302.250068,L5 IT,L5 IT_5,L5,True
Br1139,2369.05204,3304.349556,L5 IT,L5 IT_5,L5,True
Br1139,2380.391028,3307.33308,Chandelier,Chandelier_2,L5,True
Br1139,2371.398024,3317.133572,OPC,OPC_2_1-SEAAD,L5,True
Br1139,2358.954032,3311.668088,Microglia-PVM,Monocyte,L5,True
Br1139,2350.046028,3312.093088,Pvalb,Pvalb_15,L5,True
Br1139,2368.108532,3219.434596,L4 IT,L4 IT_4,L5,True
Br1139,2388.627528,3296.784548,Pvalb,Pvalb_15,L5,True
Br1139,2368.771528,3275.832068,L4 IT,L4 IT_1,L5,True
Br1139,2360.246028,3273.154596,L5 IT,L5 IT_5,L5,True
Br1139,2367.156528,3233.340604,Oligodendrocyte,Oligo_3,L5,True
Br1139,2332.221516,3093.70256,L2/3 IT,L2/3 IT_13,L4,True
Br1139,2338.027024,3103.29904,L4 IT,L4 IT_1,L4,True
Br1139,2342.829524,3128.7736,L4 IT,L4 IT_2,L4,True
Br1139,2334.355032,3130.788084,L5 IT,L5 IT_1,L4,True
Br1139,2279.51304,3200.437076,L5 IT,L5 IT_6,L4,True
Br1139,2310.019528,3242.877568,L4 IT,L4 IT_2,L5,True
Br1139,2275.900536,3233.434076,L4 IT,L4 IT_1,L5,True
Br1139,2282.709032,3231.428056,L4 IT,L4 IT_1,L5,True
Br1139,2299.173528,3242.044548,L5 IT,L5 IT_6,L5,True
Br1139,2332.859044,3167.644048,L4 IT,L4 IT_1,L4,True
Br1139,2332.425524,3272.925072,L4 IT,L4 IT_1,L5,True
Br1139,2309.594512,3162.306052,Oligodendrocyte,Oligo_4,L4,True
Br1139,2299.437024,3113.737076,L4 IT,L4 IT_3,L4,True
Br1139,2310.215024,3126.334084,L6 IT,L6 IT_2,L4,False
Br1139,2287.868536,3430.727544,L4 IT,L4 IT_2,L4,True
