supertype,beta,se,t_stat,p_value,n_genes,p_bonferroni,p_fdr,source
Astro_1,-0.8832673665861598,1.8275874404197607,-0.48329691212109155,0.6855543968380706,16870,1.0,0.9294713250931255,SEA-AD
Amex_405,-0.7259610856939614,1.4089005772155596,-0.5152677892493265,0.6968136711016153,16870,1.0,0.9421969800110551,Siletti
Oligo_4,-1.3942499834475695,2.564901917412418,-0.5435880311767041,0.7066339085553859,16870,1.0,0.9529138230653058,SEA-AD
Epen_70,-1.0753987253166026,1.917048634405584,-0.5609658023360736,0.7125858485058865,16870,1.0,0.9581205222769792,Siletti
L6 CT_3,-1.1583744707186343,2.029358601872392,-0.5708081704484647,0.7159313554304796,16870,1.0,0.9581205222769792,SEA-AD
Misc_314,-0.42493919722098905,0.7420360873333791,-0.5726664841167948,0.7165609155666746,16870,1.0,0.9581205222769792,Siletti
Splat_395,-0.9998633762963475,1.723208428120342,-0.580233568951951,0.7191175645696116,16870,1.0,0.9581205222769792,Siletti
Splat_363,-0.8896306483437328,1.526189918262106,-0.5829095302613241,0.720019000836378,16870,1.0,0.9581205222769792,Siletti
Splat_415,-1.345562619129585,2.1984064844000404,-0.6120627048172113,0.7297477385829834,16870,1.0,0.9685042546365189,Siletti
Misc_166,-1.9320049224470315,3.0550867292419754,-0.632389550173719,0.7364295331820465,16870,1.0,0.9748001452383406,Siletti
Splat_356,-3.700195430384805,5.717408381790674,-0.6471805376312678,0.7412380428519997,16870,1.0,0.9785898570985717,Siletti
Splat_349,-1.1276894025101813,1.711889335536885,-0.6587396621385657,0.7449640238935196,16870,1.0,0.9809343037131946,Siletti
Astro_2,-1.7049787320751324,2.5260080820015416,-0.6749696266704549,0.7501478423287707,16870,1.0,0.9851811088547564,SEA-AD
Amex_174,-1.3492459190174029,1.9303441372343064,-0.6989665174161795,0.7577087026887821,16870,1.0,0.9901546508197943,Siletti
Splat_344,-1.5926915906470345,2.254535896634828,-0.7064387810477192,0.7600374649707903,16870,1.0,0.9901546508197943,Siletti
L5ET_117,-0.9575326762013201,1.3519439509869444,-0.708263589997428,0.7606043140969097,16870,1.0,0.9901546508197943,Siletti
