gene,spearman_rho,pval,n_expressing,pval_fdr,abs_rho
KLHL42,0.15720174961371153,0.06967938596150411,101,0.3380555248293919,0.15720174961371153
LOC105369827,-0.15718168562079055,0.06971548861461675,67,0.3381632226956709,0.15718168562079055
LOC105371255,-0.15714323546835385,0.06978471729073073,11,0.338365040534814,0.15714323546835385
ERBB4,0.1571431228361198,0.06978492016457494,121,0.338365040534814,0.1571431228361198
RPL36P11,-0.1571327582049296,0.06980359104799044,11,0.3383881080084066,0.1571327582049296
EEF1A1P12,-0.15712449384071325,0.06981848140765162,26,0.3383928430281975,0.15712449384071325
VMA21,-0.15707771122892888,0.06990282081390266,84,0.33865437897123074,0.15707771122892888
DAD1,-0.15707077161189756,0.06991533855093575,115,0.33865437897123074,0.15707077161189756
EIF1B-AS1,-0.15706412032775335,0.06992733789778416,56,0.33865437897123074,0.15706412032775335
NIPBL,0.15706367579223116,0.06992813992819048,128,0.33865437897123074,0.15706367579223116
MICA,-0.15704838803925097,0.06995572661451728,52,0.3387205309559376,0.15704838803925097
MITD1,-0.15703849966079708,0.06997357485450435,94,0.338739513144188,0.15703849966079708
PKP4,0.15701790958733874,0.07001075120394437,127,0.33876342736327447,0.15701790958733874
FAM69B,-0.15700538062603667,0.07003338067611999,92,0.33876342736327447,0.15700538062603667
PDCL3P4,-0.157002401959616,0.07003876153615142,10,0.33876342736327447,0.157002401959616
HIPK2,0.15698937132814805,0.07006230487399145,124,0.33876342736327447,0.15698937132814805
C5orf17,0.15698200725694836,0.07007561288704031,134,0.33876342736327447,0.15698200725694836
KNG1,0.15698161463085267,0.07007632248056334,75,0.33876342736327447,0.15698161463085267
VPS25,-0.15698079244972948,0.07007780842818821,63,0.33876342736327447,0.15698079244972948
LOC100505716,-0.15697095432320138,0.07009559109282587,18,0.33876342736327447,0.15697095432320138
RAVER1,-0.15696637232205782,0.07010387442618973,73,0.33876342736327447,0.15696637232205782
PPIP5K1,0.15694450933903775,0.07014340922213871,113,0.33882058334939474,0.15694450933903775
LOC646762,-0.15694412467113633,0.07014410497834453,83,0.33882058334939474,0.15694412467113633
MAP7D1,-0.15693291404284546,0.07016438431581022,131,0.33882058334939474,0.15693291404284546
RTN2,0.15692902133736847,0.07017142709308422,99,0.33882058334939474,0.15692902133736847
NXF5,0.15691359375214042,0.07019934469505823,15,0.33888810288378546,0.15691359375214042
LOC100128045,0.1568917285652029,0.07023892714859599,78,0.3389347978980617,0.1568917285652029
ADCY3,0.15689047213062318,0.07024120221661548,106,0.3389347978980617,0.15689047213062318
C2orf68,-0.15688515816268286,0.07025082505670528,57,0.3389347978980617,0.15688515816268286
CHCHD2P10,-0.15686556876983074,0.07028630789788355,10,0.33899859207801625,0.15686556876983074
NTPCR,-0.15685849187249246,0.07029913006313868,85,0.33899859207801625,0.15685849187249246
LOC105377095,0.15684913206583598,0.07031609139569424,22,0.33899859207801625,0.15684913206583598
LOC101928622,0.15684081070424657,0.07033117370167692,41,0.33899859207801625,0.15684081070424657
LOC102724881,0.15683939482905107,0.07033374020910611,11,0.33899859207801625,0.15683939482905107
BCL2A1,-0.1568278311656918,0.07035470410080161,66,0.3390324466882496,0.1568278311656918
RHBDD2,0.15681321120513858,0.07038121604083716,131,0.3390389433973155,0.15681321120513858
JPH4,0.15681171340571237,0.07038393261843863,77,0.3390389433973155,0.15681171340571237
RPS27P7,0.15679667768369462,0.07041120780792123,12,0.33907400025353546,0.15679667768369462
RASGEF1B,-0.15677194839671915,0.07045608601804974,79,0.33907400025353546,0.15677194839671915
NRP2,-0.15676677892617696,0.0704654703994804,79,0.33907400025353546,0.15676677892617696
SMPD2,-0.15676057000657762,0.07047674308120433,31,0.33907400025353546,0.15676057000657762
ARL5A,-0.15675394938161227,0.07048876485080048,87,0.33907400025353546,0.15675394938161227
PDE1A,0.15674742326702812,0.07050061663534614,124,0.33907400025353546,0.15674742326702812
LINC00998,-0.15673933885135757,0.07051530062148847,60,0.33907400025353546,0.15673933885135757
ABI3BP,0.15673053362973238,0.0705312966523949,73,0.33907400025353546,0.15673053362973238
FLAD1,-0.15672860324098864,0.07053480389181789,82,0.33907400025353546,0.15672860324098864
GIT2,0.15672842169509618,0.07053513374193612,131,0.33907400025353546,0.15672842169509618
ACOT1,-0.15671244055809874,0.07056417471742168,41,0.33907400025353546,0.15671244055809874
LOC105375785,0.15671180142414098,0.07056533635538259,19,0.33907400025353546,0.15671180142414098
SLC25A24,-0.1567078869356442,0.07057245135000191,77,0.33907400025353546,0.1567078869356442
TP53BP1,0.15667169599744593,0.07063825974148433,129,0.3392246575291469,0.15667169599744593
LINC01375,-0.15665844202067108,0.07066237277362206,26,0.3392246575291469,0.15665844202067108
ZNF580,-0.15664719578794517,0.07068283833963297,99,0.3392246575291469,0.15664719578794517
LOC102724744,0.15664514334463656,0.0706865738345569,20,0.3392246575291469,0.15664514334463656
DDX23,0.15662174588258881,0.07072916907754352,93,0.3392246575291469,0.15662174588258881
EPHA8,0.15662135202803606,0.07072988627056236,19,0.3392246575291469,0.15662135202803606
ANKRD44-IT1,0.15662100571917895,0.07073051688968705,20,0.3392246575291469,0.15662100571917895
FAM133CP,0.1566160219465297,0.07073959271062627,17,0.3392246575291469,0.1566160219465297
IDH3A,-0.15660969705095357,0.07075111217565344,113,0.3392246575291469,0.15660969705095357
SLC9A2,0.15659716584556826,0.07077393961811111,71,0.3392246575291469,0.15659716584556826
EPS15L1,0.15659393454596504,0.07077982687610011,127,0.3392246575291469,0.15659393454596504
LOC105372261,0.15659024701819363,0.07078654584287875,12,0.3392246575291469,0.15659024701819363
PHF21A,0.15658443843654504,0.07079713058603768,126,0.3392246575291469,0.15658443843654504
LOC101927511,0.15657858036610606,0.07080780681012802,46,0.3392246575291469,0.15657858036610606
NUP43,-0.1565723435340197,0.07081917475469618,42,0.3392246575291469,0.1565723435340197
MTRNR2L12,-0.1565680656133312,0.07082697302467036,70,0.3392246575291469,0.1565680656133312
SVOP,0.1565540498568344,0.07085252738220787,122,0.33928023596429957,0.1565540498568344
LYG2,-0.15653339405713443,0.0708902018835778,101,0.3393108429745562,0.15653339405713443
LOC101929486,0.156522679959558,0.07090974992257267,19,0.3393108429745562,0.156522679959558
LINC01150,-0.15652115543802303,0.07091253179107715,26,0.3393108429745562,0.15652115543802303
AGBL2,0.15651392414488635,0.07092572828796805,57,0.3393108429745562,0.15651392414488635
FBXO2,0.1565059009316352,0.07094037230141882,91,0.3393108429745562,0.1565059009316352
NUDT9,-0.15650466562031393,0.07094262721621719,106,0.3393108429745562,0.15650466562031393
LUZP1,-0.1564966907418729,0.0709571858123725,125,0.3393137467838599,0.1564966907418729
LOC101928228,-0.15647875401720945,0.07098993917651614,55,0.33940363882682306,0.15647875401720945
LINC01310,-0.1564457388720506,0.07105025853281965,34,0.3394320206043904,0.1564457388720506
HERC2P9,0.15643817449416295,0.0710640846557782,90,0.3394320206043904,0.15643817449416295
EYA3,0.15643683066413275,0.07106654112805443,125,0.3394320206043904,0.15643683066413275
FKBP2,-0.15643365823788086,0.0710723404805205,114,0.3394320206043904,0.15643365823788086
RPL21P82,-0.1564298942753759,0.07107922168807518,14,0.3394320206043904,0.1564298942753759
CNTN6,-0.15642277216641956,0.07109224367514196,92,0.3394320206043904,0.15642277216641956
PELI1,-0.15642204688725914,0.07109356987618785,84,0.3394320206043904,0.15642204688725914
LOC100287966,-0.1564039559298147,0.07112665638075565,12,0.33952333853510464,0.1564039559298147
WNT7B,0.15639436755780714,0.07114419758822016,23,0.33954042965916453,0.15639436755780714
INADL,0.15638283958506244,0.07116529179088285,128,0.33955142207118494,0.15638283958506244
WNT3,-0.15637785006366878,0.0711744233262983,68,0.33955142207118494,0.15637785006366878
ASLP1,-0.1563668855937552,0.07119449320517952,55,0.33958055878469723,0.1563668855937552
MDM1,-0.15633955584785963,0.0712445388137676,41,0.3397526330371847,0.15633955584785963
MTMR1,0.1563120652685767,0.07129490769150482,122,0.3398763333458839,0.1563120652685767
FLT3,0.15630964344310735,0.07129934639896238,111,0.3398763333458839,0.15630964344310735
