supertype,beta,se,t_stat,p_value,n_genes,p_bonferroni,p_fdr,source
EMSN_222,6.566684887783135,3.079169702695904,2.1326154521570566,0.016485565671784386,16363,1.0,0.05937379511478595,Conti
EMSN_223,6.506958501154719,3.080191556062512,2.1125174790988424,0.017328599988768345,16363,1.0,0.06153685241373399,Conti
Splat_391,6.0672935094321865,2.8728458018225327,2.111945411613494,0.017353125409512837,16363,1.0,0.06153685241373399,Conti
Thex_456,11.80496560034083,5.7663528009662235,2.0472152863006863,0.020326445882040134,16363,1.0,0.07153046985969849,Conti
Misc_167,6.484616339635525,3.1776199721210068,2.0407148735621634,0.0206475980732993,16363,1.0,0.07211017205902255,Conti
Amex_155,12.51137456777813,6.151249941955446,2.0339564618310466,0.020986043704572133,16363,1.0,0.07229176224339404,Conti
DLIT_147,11.837001981529314,5.821234803350523,2.033417716584169,0.021013223732353148,16363,1.0,0.07229176224339404,Conti
Splat_387,3.2384262711037484,1.599078939228807,2.025182241888293,0.021432430949767767,16363,1.0,0.07277124832606321,Conti
URL_309,6.67846766555082,3.298849678719167,2.024483779492446,0.02146830753220086,16363,1.0,0.07277124832606321,Conti
MGE_251,6.46244108566148,3.2663584945298902,1.978484938650797,0.023945387016000907,16363,1.0,0.08057535338960889,Conti
Splat_416,5.186947730378777,2.628393411409786,1.9734289805560972,0.024231756416144723,16363,1.0,0.08094811382494722,Conti
ULIT_138,5.546078134291717,2.8364605033946333,1.955281283717596,0.025283440854003136,16363,1.0,0.08385371391147803,Conti
MGE_247,8.285568152041929,4.253167941719023,1.948093342557527,0.025710437390217056,16363,1.0,0.0846607974063576,Conti
Midi_443,5.619117087927229,2.925848095376121,1.9205088250505655,0.02740551233399524,16363,1.0,0.08926722646620924,Conti
ULIT_134,6.494855804100979,3.3843823305844842,1.9190668103326596,0.027496629410415863,16363,1.0,0.08926722646620924,Conti
Thex_459,6.978878345919338,3.770885648297153,1.8507265923247613,0.03211345618848471,16363,1.0,0.10352659652371646,Conti
Splat_375,4.689998212202582,2.5765479327680576,1.8202642972622618,0.034368515250535636,16363,1.0,0.11002698285067311,Conti
L5ET_118,4.865400874123619,2.6817261961386976,1.814279504421108,0.03482650819057875,16363,1.0,0.11072427776452969,Conti
CGE_295,4.740228707546047,2.6499257386090984,1.7888156782967486,0.03683150127379253,16363,1.0,0.11629672662478328,Conti
MSN_430,4.796246929301491,2.702157862006277,1.7749691817562467,0.03796078379994228,16363,1.0,0.1190470838896149,Conti
Midi_438,7.289899721387012,4.1454571680994645,1.758527329020542,0.039338261319630585,16363,1.0,0.12253336802938986,Conti
DLNP_90,7.949358064461321,4.529743900829925,1.7549243927465448,0.039645480082367235,16363,1.0,0.12266151891255904,Conti
MGE_236,6.268592372149203,3.5990309707601935,1.7417444926363443,0.04078598002190881,16363,1.0,0.12471060479295587,Conti
DLIT_146,6.959137737354318,3.997144857879313,1.7410271543289757,0.040848809812877085,16363,1.0,0.12471060479295587,Conti
MSN_218,5.431115857360652,3.2082466990263883,1.6928610443233187,0.04525048090146777,16363,1.0,0.13655245416693268,Conti
Amex_158,8.97636129707401,5.309806081475249,1.6905252582369383,0.04547328105610815,16363,1.0,0.13655245416693268,Conti
MSN_212,6.9778024574150646,4.1312445934927915,1.6890315495736914,0.04561622113168684,16363,1.0,0.13655245416693268,Conti
Splat_370,8.036610385494772,4.809435087315149,1.6710092224118536,0.04736949260309253,16363,1.0,0.1408860392904881,Conti
CBI_305,3.463882614293798,2.091856487891469,1.655889222967342,0.048881717673143976,16363,1.0,0.14445174261102162,Conti
Misc_170,8.673236151197573,5.261692317160339,1.6483738744872858,0.04964758888611864,16363,1.0,0.1457804998503229,Conti
Splat_389,5.217438405438027,3.173691823797718,1.6439650398048766,0.050101320430319674,16363,1.0,0.14618170074922385,Conti
Thex_447,5.184659647784247,3.169354065993661,1.6358726541203732,0.05094274053678127,16363,1.0,0.14706657243547452,Conti
Amex_153,3.23202422999634,1.9768710864220216,1.6349190658891397,0.0510426281771712,16363,1.0,0.14706657243547452,Conti
Amex_162,7.237567277155463,4.521151861439737,1.6008237500013323,0.0547176360738606,16363,1.0,0.1566759641617996,Conti
Misc_178,4.347634533649671,2.731418668456086,1.591712974601268,0.05573426721404007,16363,1.0,0.15860183447945972,Conti
DLCT6b_97,3.915762255132055,2.475783616323191,1.5816254010709505,0.05687722253224581,16363,1.0,0.1608613471617504,Conti
URL_312,1.7799193614594304,1.13614326886384,1.5666328448518434,0.058609939530680166,16363,1.0,0.1638691935169749,Conti
Amex_173,4.551492922649994,2.905932614914451,1.5662761411912465,0.05865166362321228,16363,1.0,0.1638691935169749,Conti
Thex_457,4.016215821513745,2.5965971692212304,1.546722714296991,0.06097473416403332,16363,1.0,0.1693334484916829,Conti
MGE_248,5.112241387235412,3.3147706244732644,1.5422609786303918,0.061514765400200844,16363,1.0,0.16981022065564425,Conti
