gene,spearman_rho_sag,pval_sag,pval_fdr_sag,spearman_rho_tau,pval_tau,pval_fdr_tau,combined_score,is_scz
GRIN2D,0.7558823529411764,0.0007058905869098935,0.06249446089519475,-0.7558823529411764,0.0007058905869098935,0.02289586855619748,1.511764705882353,False
LINC00271,0.6911764705882353,0.0030247187950434035,0.10865849569378204,-0.8205882352941177,9.841270416875375e-05,0.008809024456298695,1.511764705882353,False
AL160313.1,0.7588235294117647,0.0006540302361647908,0.05986593712555852,-0.7529411764705882,0.0007610810731946066,0.023781398278423183,1.511764705882353,False
IQCJ,0.7764705882352941,0.0004043508405454708,0.05238536822853493,-0.7352941176470589,0.0011716155350991776,0.02945217857549934,1.511764705882353,False
AC091938.1,0.6941176470588235,0.0028537059034569076,0.1067767117664136,-0.8176470588235294,0.00010936308081986552,0.009228364343245058,1.511764705882353,False
SCRT2,0.7105269064915732,0.0020369737508238203,0.09386118956867578,-0.800089121595553,0.0001980027256302542,0.012373644676227733,1.5106160280871261,False
GPR63,0.8529411764705882,2.679074057724726e-05,0.021702509173113574,-0.6558823529411765,0.005800736962231499,0.0703184735455246,1.5088235294117647,False
LINC02645,0.6588235294117648,0.005511422336343683,0.1369529278869205,-0.8470588235294119,3.468046484915084e-05,0.005852870325557471,1.5058823529411767,False
KPNA5,0.6676470588235294,0.004711981947989977,0.13049773594933267,-0.8382352941176471,5.010342100683488e-05,0.006879242164764706,1.5058823529411764,False
CDH12,0.7470588235294118,0.0008821069929846312,0.06725391269101412,-0.7558823529411764,0.0007058905869098935,0.02289586855619748,1.5029411764705882,False
SUFU,0.6764705882352942,0.004008252390209358,0.12310843810422165,-0.8264705882352942,7.923548582249701e-05,0.008124896984513833,1.5029411764705882,False
LINC01473,0.75,0.0008197640272555874,0.06542564969251921,-0.7529411764705882,0.0007610810731946066,0.023781398278423183,1.5029411764705882,False
CCND2,0.6823529411764706,0.0035879704117567236,0.11719859400418661,-0.8205882352941177,9.841270416875375e-05,0.008809024456298695,1.5029411764705882,False
AC007686.4,0.7470588235294118,0.0008821069929846312,0.06725391269101412,-0.7558823529411764,0.0007058905869098935,0.02289586855619748,1.5029411764705882,False
VSTM2A-OT1,0.6441176470588235,0.007081524086582874,0.1502702193697085,-0.8588235294117647,2.0464395736214244e-05,0.004669773345355986,1.5029411764705882,False
KIF5B,0.7000000000000001,0.002535094604431934,0.10229722349614939,-0.8029411764705883,0.0001805167946798431,0.011888792069127959,1.5029411764705882,False
AC114689.3,0.7441176470588236,0.0009482827857378677,0.06983456160514576,-0.7588235294117647,0.0006540302361647908,0.022144766711021648,1.5029411764705882,False
CAMK4,0.7529411764705882,0.0007610810731946066,0.06438984338048259,-0.75,0.0008197640272555874,0.02466370824063398,1.5029411764705882,False
AC136944.1,0.6814188939374715,0.0036522249069216592,0.11905738798690395,-0.8200625649983422,0.00010029976845890078,0.008928608234543303,1.5014814589358136,False
TRIM2,0.7441176470588236,0.0009482827857378677,0.06983456160514576,-0.7558823529411764,0.0007058905869098935,0.02289586855619748,1.5,False
LINS1,0.7970588235294117,0.0002180980699057476,0.042065665233071065,-0.7029411764705883,0.0023869526693009323,0.042380508133346914,1.5,False
CUL1,0.8205882352941177,9.841270416875375e-05,0.0331186159608047,-0.6794117647058824,0.003793432669159745,0.055872090353992376,1.5,False
AC019205.1,0.7352941176470589,0.0011716155350991776,0.0751759567996409,-0.7647058823529411,0.0005596762943567444,0.02070227279228492,1.5,False
