cell_type,source,group,cell_class,color,n_genes,beta,se,p,neglog10p,fdr,bonferroni,depleted_scz
VLMC_1,SEA-AD,VLMC,Non-neuronal,#979e8a,15981,-1.1863,1.0206,0.87746,0.05677267221282337,0.99684231292517,1.0,False
OPC_2_2-SEAAD,SEA-AD,OPC,Non-neuronal,#719a8e,15981,0.4965,1.8877,0.39627,0.40200880510114934,0.49632817500000004,1.0,False
Micro-PVM_3-SEAAD,SEA-AD,Micro-PVM,Non-neuronal,#7f9381,15981,0.41291,0.94489,0.33106,0.48009328928326217,0.42858155038759693,1.0,False
Bcell_0,Siletti,Miscellaneous,Siletti,#9e9e9e,15981,-0.85946,0.75869,0.87135,0.05980736446809005,0.9921507954545454,1.0,False
Tcell_1,Siletti,Miscellaneous,Siletti,#9e9e9e,15981,-1.7407,0.72996,0.99145,0.0037291828925016045,1.0,1.0,False
Nkcell_2,Siletti,Miscellaneous,Siletti,#9e9e9e,15981,-1.3893,0.6125,0.98833,0.005098021758720884,1.0,1.0,False
Mono_3,Siletti,Miscellaneous,Siletti,#9e9e9e,15981,-1.4898,0.62858,0.9911,0.0038825238627119936,1.0,1.0,False
Mgl_4,Siletti,Microglia,Siletti,#9e9e9e,15981,-2.9203,1.1782,0.9934,0.002875844340795484,1.0,1.0,False
Mgl_5,Siletti,Microglia,Siletti,#9e9e9e,15981,-3.0965,1.2016,0.99501,0.0021725545075455864,1.0,1.0,False
Mgl_7,Siletti,Microglia,Siletti,#9e9e9e,15981,-2.9154,1.333,0.98562,0.0062904924751942615,1.0,1.0,False
Mgl_8,Siletti,Microglia,Siletti,#9e9e9e,15981,-2.896,1.4591,0.97641,0.010367781361998113,1.0,1.0,False
Mgl_9,Siletti,Microglia,Siletti,#9e9e9e,15981,-2.4639,1.3376,0.96726,0.014456771637868408,1.0,1.0,False
Mgl_10,Siletti,Microglia,Siletti,#9e9e9e,15981,-3.0646,1.4336,0.98372,0.007128498885099483,1.0,1.0,False
Mgl_12,Siletti,Microglia,Siletti,#9e9e9e,15981,-3.0424,1.1515,0.99588,0.0017929893650148907,1.0,1.0,False
VendPLVAP_13,Siletti,Vascular,Siletti,#9e9e9e,15981,-4.3887,1.1762,0.9999,4.3431619807505604e-05,1.0,1.0,False
VendAC_14,Siletti,Vascular,Siletti,#9e9e9e,15981,-3.342,1.3669,0.99275,0.003160104264079417,1.0,1.0,False
VendVC_16,Siletti,Vascular,Siletti,#9e9e9e,15981,-4.031,1.5363,0.99565,0.0018933019199669319,1.0,1.0,False
VendV_17,Siletti,Vascular,Siletti,#9e9e9e,15981,-2.8814,1.075,0.99632,0.001601151622675237,1.0,1.0,False
VendA_18,Siletti,Vascular,Siletti,#9e9e9e,15981,-3.2955,1.0913,0.99873,0.0005519045256186048,1.0,1.0,False
Vsmc_19,Siletti,Vascular,Siletti,#9e9e9e,15981,-4.9661,1.3686,0.99986,6.08054839496669e-05,1.0,1.0,False
Vsmc_20,Siletti,Vascular,Siletti,#9e9e9e,15981,-4.8236,1.5989,0.99872,0.0005562530147613108,1.0,1.0,False
Per_21,Siletti,Vascular,Siletti,#9e9e9e,15981,-1.8896,1.5952,0.88189,0.05458558195691177,0.9996083484162895,1.0,False
Per_22,Siletti,Vascular,Siletti,#9e9e9e,15981,-1.6693,1.7759,0.82637,0.08282545754718389,0.9539432488479263,1.0,False
Per_23,Siletti,Vascular,Siletti,#9e9e9e,15981,-3.2484,1.8644,0.95926,0.01806366471533068,1.0,1.0,False
Fbl_24,Siletti,Fibroblast,Siletti,#9e9e9e,15981,-6.801,1.5292,1.0,-0.0,1.0,1.0,False
