cluster,conti_beta,conti_pvalue,conti_fdr,conti_sig,repro_beta,repro_pvalue,repro_fdr,repro_sig,both_sig
Splat_369,11.39746453333909,0.0058175663165593,0.0243808915630352,True,10.073621009871646,0.0057729587735447,0.0272104395974564,True,True
Splat_394,5.081411703608118,0.005910548260692,0.024547412145757,True,5.2191369024189065,0.0132948850173399,0.0528357068361529,False,False
ULIT_120,12.529529808905332,0.0063842297592591,0.0262779457055219,True,17.1342949871978,0.0005777855213402,0.0038051303619693,True,True
Splat_400,3.628607281122417,0.0065753382472916,0.0268250524955879,True,1.4098064349750832,0.1460965141191871,0.3253647005263056,False,False
MGE_250,5.250700627948584,0.0076257106271006,0.0308373035008191,True,6.134651357234402,0.0027275368873377,0.0144528104030194,True,True
DLNP_86,7.754091852040326,0.0085038807753273,0.0340894698906601,True,8.975543823198812,0.0027170072093601,0.0144528104030194,True,True
CGE_281,5.761892272109278,0.0090635770009279,0.0360199051502395,True,5.378799632392843,0.0112824905601769,0.0464395370378711,True,True
EMSN_229,6.35706033487574,0.0094899034710433,0.0373918418816325,True,4.986084096776301,0.0148099076612403,0.0578590460324729,False,False
MSN_208,11.112158469064656,0.0099206787249224,0.0387579058660104,True,9.750814119427796,0.0116835577987894,0.0476647800463889,True,True
Thex_449,9.78339323832895,0.0100222538919203,0.0388257062535737,True,7.207463213218253,0.027383556834837,0.0942076097079096,False,False
DLNP_87,7.919623951917472,0.0106400377345869,0.0408675786624936,True,6.817007848986695,0.0392634934303118,0.1231324521862161,False,False
URL_311,2.9105372156991867,0.0107708405044512,0.0408675786624936,True,3.3544806802626477,0.0047696559998591,0.0231453833256321,True,True
DLNP_92,11.710444713914836,0.0108152811210937,0.0408675786624936,True,7.823915338308916,0.0476366202544183,0.1398756811292157,False,False
URL_310,4.695751229100089,0.0109368882876708,0.0409911016310263,True,6.561469262445303,0.002084499543586,0.0115777625252187,True,True
Splat_357,4.388526321326318,0.011309714654227,0.0419482217450623,True,4.002107007073473,0.0220460420130713,0.0800253965986291,False,False
EMSN_227,12.719764819406032,0.0113742466770776,0.0419482217450623,True,0.7707747004002119,0.3986357485477261,0.6586777063817266,False,False
CGE_287,6.647394326261476,0.0136989520743401,0.0501207690973873,False,1.6629613162593335,0.1647443001167734,0.3582411431784554,False,False
CBI_304,4.578966942373126,0.0160928135549907,0.0584156460539426,False,4.121302194542824,0.0462242763175251,0.1380430413374361,False,False
EMSN_222,6.566684887783135,0.0164855656717843,0.0593737951147859,False,4.497859856499277,0.0380842933160296,0.1222408892177702,False,False
EMSN_223,6.506958501154719,0.0173285999887683,0.0615368524137339,False,7.456108870107157,0.0050062629985851,0.0240404921077893,True,False
Splat_391,6.0672935094321865,0.0173531254095128,0.0615368524137339,False,3.560542224128424,0.1119206241892271,0.271554777638072,False,False
Thex_456,11.80496560034083,0.0203264458820401,0.0715304698596984,False,8.400093905042402,0.0399763925515211,0.1245210605827788,False,False
Misc_167,6.484616339635525,0.0206475980732993,0.0721101720590225,False,6.475725238317839,0.0119237363491355,0.047914177371213,True,False
Amex_155,12.51137456777813,0.0209860437045721,0.072291762243394,False,6.074680544862563,0.136872094727209,0.31475815702209,False,False
DLIT_147,11.837001981529314,0.0210132237323531,0.072291762243394,False,8.401579239798089,0.0457832417634765,0.1379481990389719,False,False
Splat_387,3.2384262711037484,0.0214324309497677,0.0727712483260632,False,3.012365606945159,0.0288003313409677,0.0969997917823018,False,False
URL_309,6.67846766555082,0.0214683075322008,0.0727712483260632,False,7.7458081767065,0.0110118768642449,0.0464395370378711,True,False
MGE_251,6.46244108566148,0.0239453870160009,0.0805753533896088,False,13.062404537702152,0.0003794744269416,0.0025726133944131,True,False
Splat_416,5.186947730378777,0.0242317564161447,0.0809481138249472,False,0.6146584320509345,0.3414222736235832,0.6100607292266351,False,False
ULIT_138,5.546078134291717,0.0252834408540031,0.083853713911478,False,6.117332719572606,0.0243649449594525,0.0870716250101365,False,False
MGE_247,8.285568152041929,0.025710437390217,0.0846607974063576,False,11.33367401625325,0.0039924743064646,0.019790652207314,True,False
Midi_443,5.619117087927229,0.0274055123339952,0.0892672264662092,False,5.016602172012254,0.0202937646719212,0.0748434041100455,False,False
ULIT_134,6.494855804100979,0.0274966294104158,0.0892672264662092,False,10.225716445680602,0.0069208868091393,0.0312796943040515,True,False
Thex_459,6.978878345919338,0.0321134561884847,0.1035265965237164,False,-2.652020442835663,0.9258702089560408,0.9999999979724754,False,False
Splat_375,4.689998212202582,0.0343685152505356,0.1100269828506731,False,3.87197374924066,0.0909730293612125,0.2243852248045967,False,False
L5ET_118,4.865400874123619,0.0348265081905787,0.1107242777645296,False,5.906279954184311,0.0165621431357305,0.0637311112784273,False,False
CGE_295,4.740228707546047,0.0368315012737925,0.1162967266247832,False,5.889293275393063,0.018199696952168,0.0693019957016485,False,False
MSN_430,4.796246929301491,0.0379607837999422,0.1190470838896149,False,4.827530645618354,0.0288264023300983,0.0969997917823018,False,False
Midi_438,7.289899721387012,0.0393382613196305,0.1225333680293898,False,18.07747555805605,1.721323116155027e-05,0.0001763399903438,True,False
DLNP_90,7.949358064461321,0.0396454800823672,0.122661518912559,False,7.4207293813780835,0.0427671371037643,0.1305672198995719,False,False
MGE_236,6.268592372149203,0.0407859800219088,0.1247106047929558,False,5.636850695602513,0.0384488697105784,0.1222408892177702,False,False
DLIT_146,6.959137737354318,0.040848809812877,0.1247106047929558,False,4.802840414042947,0.0818902192047401,0.2055151435258584,False,False
MSN_218,5.431115857360652,0.0452504809014677,0.1365524541669326,False,7.33871213348815,0.0205577531650537,0.0752152715007123,False,False
Amex_158,8.97636129707401,0.0454732810561081,0.1365524541669326,False,2.540654327735344,0.2710981981644902,0.5229132608946861,False,False
MSN_212,6.9778024574150646,0.0456162211316868,0.1365524541669326,False,5.852242560904687,0.0689543362781139,0.1850117725130064,False,False
Splat_370,8.036610385494772,0.0473694926030925,0.1408860392904881,False,8.664665968408487,0.0264669654981269,0.0924338719290647,False,False
CBI_305,3.463882614293798,0.0488817176731439,0.1444517426110216,False,2.477107745864292,0.1188861529700794,0.2810590590728544,False,False
