cell_type,expr_beta,expr_fdr,expr_logp,atac_beta,atac_fdr,atac_logp,class,subclass
Pvalb_5,2.368612875401426,0.0069437334339764,2.8971875183169975,22.161715933033953,3.2921766612847847e-06,7.234535616830412,GABAergic,Pvalb
Pvalb_6,5.445677036639656,2.8823306034930773e-05,6.05615691373885,19.256252765195146,2.3956215000664474e-05,6.073106849688856,GABAergic,Pvalb
Pvalb_7,1.2619427043686695,0.151005694769626,1.1723974063068507,19.82874526171195,2.759695372885525e-05,5.924002404463347,GABAergic,Pvalb
Pvalb_8,2.9437680405537163,0.0126559480964929,2.527553026240813,14.470816149883863,0.0009470784795786965,3.9905375729282153,GABAergic,Pvalb
Pvalb_9,0.792495610776994,0.2674911703320995,0.8581527675542349,12.922818977546738,0.003118216112030708,3.234135241042411,GABAergic,Pvalb
Sncg_1,1.5818786031349734,0.1161537607186637,1.3715889195222521,12.727208213573135,0.003118216112030708,3.2381244580210677,GABAergic,Sncg
Sncg_2,1.4903775463994862,0.151005694769626,1.1790937107538912,12.71589879309499,0.004016321279569381,3.0920283226525926,GABAergic,Sncg
Sncg_3,3.500193724464455,0.0005133437526256,4.420011001725614,8.153853574488805,0.07466296104332511,1.5273274788281987,GABAergic,Sncg
Sncg_4,1.8751472027052656,0.0413751791591437,1.8967313894270827,6.9224960197788645,0.07122040383553849,1.5580166085395537,GABAergic,Sncg
Sncg_5,2.4559449536826183,0.0270354580144965,2.092002978970619,8.409023731716639,0.04203112022241507,1.8473459772491747,GABAergic,Sncg
Sncg_6,3.28337913478044,0.0030193136805907,3.4015398272437465,10.238277602737453,0.02271936412919963,2.1652710511552016,GABAergic,Sncg
Sncg_8,1.1164567465662365,0.1375834666303792,1.2375443715761156,13.058689304888619,0.0019288250051837884,3.5789683717250322,GABAergic,Sncg
Sst Chodl_1,0.2821731722307445,0.4830851147856506,0.5232779855868271,-9.28844371636684,0.9999999999187467,0.0028583064419193463,GABAergic,Sst Chodl
Sst Chodl_2,3.6448922665824544,0.0007660516741592,4.173281255072407,6.441545649261109,0.12711907394816943,1.2464123903440014,GABAergic,Sst Chodl
Sst_1,2.3520748556156064,0.0038759204131143,3.26959211539462,8.514276360978798,0.05894216600214981,1.6823926289984554,GABAergic,Sst
