gene,gwas_zstat,gwas_p,upper_sst_spec,deep_sst_spec,total_sst_spec,upper_fraction,upper_gwas_score,is_scz_gwas
TCF4,8.4365,1.6346e-17,0.06808238900000001,0.0771903535,0.16327617049999998,0.41697688518484705,0.5743770747985001,True
QPCT,5.3033,5.6851e-08,0.10671274770000001,0.12409559500000002,0.2532823557,0.42131931142647694,0.5659297148774101,True
SPOCK3,4.9685,3.3729e-07,0.113743036,0.142563767,0.27958099740000003,0.4068339302662492,0.565132274366,True
DEPDC1,2.5593,0.0052442,0.220528093,0.201478498,0.45180125359999995,0.4881086345883482,0.5643975484149,False
BCL11A,4.3197,7.8133e-06,0.130021893,0.10020546200000001,0.26617886500000004,0.4884756458781954,0.5616555711921,False
CYP17A1,7.0952,6.4587e-13,0.0785636185,0.051395945400000004,0.13892483989999999,0.5655116720418838,0.5574245859812,False
RBMS3,5.5807,1.1975e-08,0.09925377399999999,0.08609338,0.2050071115,0.4841479560088333,0.5539055365618,True
PTGIS,5.5613,1.3385e-08,0.09922878600000001,0.1131068704,0.23407565440000003,0.4239175844850271,0.5518410475818001,True
KLF5,2.0293,0.021214,0.266803974,0.306022832,0.7088854859999999,0.3763710490187692,0.5414253044382,False
IGSF9B,8.6466,2.6536e-18,0.0623109017,0.0950766714,0.1784949581,0.349090542182659,0.5387774426392199,True
CSF3,0.96007,0.16851,0.5552757,0.0,0.5552757,1.0,0.5331035412990001,False
EYS,5.2061,9.6434e-08,0.1021315861,0.08692664850000001,0.23169303519999998,0.44080559440139794,0.53170725039521,False
KCNS3,4.8609,5.8441e-07,0.10926627750000001,0.029265621549999996,0.14523394444999999,0.7523466908083417,0.53113244829975,False
MAD1L1,8.1192,2.3461e-16,0.065121597,0.0835745741,0.16487832609999997,0.3949676015057507,0.5287352703624,True
FANCL,6.2821,1.6697e-10,0.0838894735,0.059438803,0.166742617,0.5031075738723713,0.52700206147435,False
