gene,spearman_rho,pval,n_expressing,pval_fdr,abs_rho
LINC00486,-0.2203298771434135,0.010523814801833769,124,0.23721010175662569,0.2203298771434135
HLA-E,0.22026661746965318,0.010546627354188917,109,0.23727652301656577,0.22026661746965318
P3H2-AS1,-0.2202358244687132,0.010557747578897185,36,0.23727652301656577,0.2202358244687132
USP44,0.22021441290997792,0.010565485974606692,75,0.23727652301656577,0.22021441290997792
RAMP1,0.2202135838223308,0.010565785717155574,89,0.23727652301656577,0.2202135838223308
SLC9A9,-0.2201838132854765,0.01057655370454384,108,0.2372992275352498,0.2201838132854765
TSLP,-0.2201086156769233,0.010603795618053325,13,0.23754387059595936,0.2201086156769233
SEPT14,-0.2200785597594391,0.010614701249887655,54,0.23754387059595936,0.2200785597594391
SERINC5,-0.22004029083959012,0.010628601196508452,121,0.23754387059595936,0.22004029083959012
SUPT7L,-0.22003567936114518,0.010630277246658824,123,0.23754387059595936,0.22003567936114518
LOC105370924,0.2200191336899579,0.010636292713251911,30,0.23754387059595936,0.2200191336899579
ARHGAP10,0.21995194747011376,0.010660750191173369,116,0.23787165632984172,0.21995194747011376
IMMP2L,-0.21983624136391744,0.01070298602866827,126,0.2385951633393593,0.21983624136391744
RPL10P3,-0.2197648734753236,0.010729110501258533,60,0.23886091802156073,0.2197648734753236
LOC102723917,-0.21975003364997509,0.010734549705915294,36,0.23886091802156073,0.21975003364997509
SPAG5-AS1,0.21968097009213852,0.010759895299939023,81,0.23892418395626613,0.21968097009213852
SYNPR,-0.21963154128574128,0.010778067424999174,127,0.23892418395626613,0.21963154128574128
BTBD16,-0.2196193308293866,0.010782560658725978,35,0.23892418395626613,0.2196193308293866
UGDH,-0.21960526911485986,0.010787737162374862,100,0.23892418395626613,0.21960526911485986
SLC17A7,0.21958400172531456,0.010795570422468386,20,0.23892418395626613,0.21958400172531456
SNX29P1,-0.2195819249822985,0.010796335601658503,33,0.23892418395626613,0.2195819249822985
LOC105379231,-0.2195248618962352,0.010817379239547061,11,0.23901270350949036,0.2195248618962352
LRRC56,-0.21951778812934386,0.010819990401872821,51,0.23901270350949036,0.21951778812934386
MYH14,-0.2193886215636396,0.010867767561324028,106,0.23985024941829552,0.2193886215636396
LOC102724446,-0.21931808273609166,0.010893937200338126,24,0.24020983377100957,0.21931808273609166
TBRG4,0.21924989753559543,0.010919286261381686,76,0.24025820082771968,0.21924989753559543
NPNT,-0.21923222126973765,0.010925866179806948,26,0.24025820082771968,0.21923222126973765
LOC283045,0.21921630294780886,0.010931794691394242,36,0.24025820082771968,0.21921630294780886
GNRHR,0.21920596806464712,0.010935645257854763,33,0.24025820082771968,0.21920596806464712
