gene,spearman_rho,pval,pval_fdr,abs_rho
CTBP1-DT,0.8264705882352942,7.923548582249701e-05,0.031310578623248424,0.8264705882352942
PLEKHB2,-0.8264705882352942,7.923548582249701e-05,0.031310578623248424,0.8264705882352942
DPYD-AS1,-0.8264705882352942,7.923548582249701e-05,0.031310578623248424,0.8264705882352942
C8orf37,0.8264705882352942,7.923548582249701e-05,0.031310578623248424,0.8264705882352942
TUBA1C,0.823529411764706,8.83913936384215e-05,0.03147413547325024,0.823529411764706
AC007405.1,0.823529411764706,8.83913936384215e-05,0.03147413547325024,0.823529411764706
GRIA2,0.823529411764706,8.83913936384215e-05,0.03147413547325024,0.823529411764706
IRS1,0.823529411764706,8.83913936384215e-05,0.03147413547325024,0.823529411764706
FOXO1,-0.823529411764706,8.83913936384215e-05,0.03147413547325024,0.823529411764706
ENTPD6,0.823529411764706,8.83913936384215e-05,0.03147413547325024,0.823529411764706
CHSY3,-0.823529411764706,8.83913936384215e-05,0.03147413547325024,0.823529411764706
GP6,0.823529411764706,8.83913936384215e-05,0.03147413547325024,0.823529411764706
ACAD11,0.823529411764706,8.83913936384215e-05,0.03147413547325024,0.823529411764706
AP001347.1,0.8205882352941177,9.841270416875375e-05,0.0331186159608047,0.8205882352941177
NBPF14,0.8205882352941177,9.841270416875375e-05,0.0331186159608047,0.8205882352941177
AC098595.1,0.8205882352941177,9.841270416875375e-05,0.0331186159608047,0.8205882352941177
CUL1,0.8205882352941177,9.841270416875375e-05,0.0331186159608047,0.8205882352941177
KAZN,0.8205882352941177,9.841270416875375e-05,0.0331186159608047,0.8205882352941177
AL031598.1,-0.8199777102934879,0.00010060718840893237,0.0331186159608047,0.8199777102934879
OR2J3,0.8183987791947797,0.00010647230032392855,0.0331186159608047,0.8183987791947797
HHIPL1,0.8176470588235294,0.00010936308081986552,0.0331186159608047,0.8176470588235294
AP002528.1,-0.8176470588235294,0.00010936308081986552,0.0331186159608047,0.8176470588235294
SLC30A10,-0.8176470588235294,0.00010936308081986552,0.0331186159608047,0.8176470588235294
AC005726.1,0.8176470588235294,0.00010936308081986552,0.0331186159608047,0.8176470588235294
KIRREL3,0.8176470588235294,0.00010936308081986552,0.0331186159608047,0.8176470588235294
LRRC8C,-0.8176470588235294,0.00010936308081986552,0.0331186159608047,0.8176470588235294
GDPD1,0.8176470588235294,0.00010936308081986552,0.0331186159608047,0.8176470588235294
FAM122C,0.8176470588235294,0.00010936308081986552,0.0331186159608047,0.8176470588235294
SIRT7,-0.8176470588235294,0.00010936308081986552,0.0331186159608047,0.8176470588235294
PERM1,-0.8168888183475567,0.00011234483498145568,0.0337065711842973,0.8168888183475567
OR5V1,0.8163186921780597,0.00011463114046682504,0.03407699857382139,0.8163186921780597
DNAJC27-AS1,0.8147058823529412,0.00012130950572235612,0.03418079925149135,0.8147058823529412
RBBP7,0.8147058823529412,0.00012130950572235612,0.03418079925149135,0.8147058823529412
VPS50,-0.8147058823529412,0.00012130950572235612,0.03418079925149135,0.8147058823529412
CYB5R1,-0.8147058823529412,0.00012130950572235612,0.03418079925149135,0.8147058823529412
