cell_type,beta,se,t_stat,p_value,n_genes,p_bonferroni,p_fdr,source,supercluster
CA13_179,11.171807672506215,4.626351693707606,2.4148202324741583,0.007876773689998,16870,1.0,0.0366048255104557,Siletti,Hippocampal CA1-3
MGE_247,10.51124615172777,4.357424238390525,2.412261367419722,0.0079322584108144,16870,1.0,0.0366048255104557,Siletti,MGE interneuron
L2/3 IT_12,7.66579072010031,3.19378309042563,2.400222714899121,0.008197934584776,16870,1.0,0.0374592443419365,SEA-AD,
LLC_275,7.33188274452176,3.0585475203574313,2.397177972786551,0.0082663541191947,16870,1.0,0.0374592443419365,Siletti,LAMP5-LHX6 and Chandelier
Splat_367,13.482820642091074,5.640682160705476,2.390281930085702,0.0084231749908586,16870,1.0,0.0378290805393026,Siletti,Splatter
URL_311,3.113020112847898,1.3155808895914545,2.366270396200896,0.0089897762083229,16870,1.0,0.0400164374582872,Siletti,Upper rhombic lip
Sst_7,9.557288007903113,4.06557053270603,2.3507864224758177,0.0093726167587274,16870,1.0,0.0413546160494729,SEA-AD,
Thex_456,13.158415778860316,5.618294216787137,2.3420659850001684,0.0095944472815731,16870,1.0,0.0419652781098371,Siletti,Thalamic excitatory
Misc_177,7.479578670916044,3.2031911167717073,2.3350397769753544,0.0097765051552323,16870,1.0,0.0423929490782918,Siletti,Miscellaneous
Thex_449,10.31067422206748,4.46300867774927,2.3102518875825337,0.0104431111451979,16870,1.0,0.0448964521883294,Siletti,Thalamic excitatory
Sst_4,6.957427905654126,3.03727132059062,2.290683699703589,0.0109969964972092,16870,1.0,0.0468770274414934,SEA-AD,
EMSN_223,6.491399509618132,2.8647107968572865,2.265987727884952,0.0117323763466573,16870,1.0,0.0495914731291483,Siletti,Eccentric medium spiny neuron
Sst_5,5.882403087486011,2.6019516414024846,2.2607657244218893,0.0118932288359753,16870,1.0,0.0498524508707965,SEA-AD,
Splat_369,9.037924249321302,4.058791949312501,2.226752285455822,0.0129884933574703,16870,1.0,0.053993488915765,Siletti,Splatter
L6b_4,7.640237583209256,3.4768276064665926,2.1974738031299244,0.0140000863201356,16870,1.0,0.0577216673690837,SEA-AD,
L5ET_118,7.095596071005384,3.237775733034959,2.191503259045759,0.0142145105974172,16870,1.0,0.0581292587845601,Siletti,Miscellaneous
DLNP_86,6.271548859294361,2.8936414746974193,2.1673551869276277,0.0151108644466549,16870,1.0,0.0612964904569956,Siletti,Deep-layer near-projecting
Splat_378,8.245178895000759,3.818008697897481,2.159549531550636,0.0154108045102344,16870,1.0,0.0620130773491834,Siletti,Splatter
MSN_210,9.021712913272824,4.207024082139029,2.1444405206936215,0.0160059268786244,16870,1.0,0.0638940702063903,Siletti,Medium spiny neuron
L6b_5,7.365108485335238,3.439559177111025,2.141294307231947,0.0161323000322297,16870,1.0,0.0638940702063903,SEA-AD,
L6 IT_2,3.07915993366882,1.4417010585663248,2.13578252951471,0.016355751620811,16870,1.0,0.0641105343732169,SEA-AD,
Midi_436,6.870548501877699,3.2200530288340135,2.133675576257679,0.0164418666682802,16870,1.0,0.0641105343732169,Siletti,Midbrain-derived inhibitory
L5/6 NP_4,6.825853522600472,3.2050275682509657,2.129733169916366,0.0166040431398711,16870,1.0,0.0642448746104246,SEA-AD,
Amex_156,11.95654512306189,5.664675902651215,2.110720070933964,0.0174055299391916,16870,1.0,0.0668319203008656,Siletti,Amygdala excitatory
Pvalb_5,7.20639436433723,3.4201085105667164,2.107066001582248,0.0175632925871014,16870,1.0,0.0669267891766062,SEA-AD,
URL_310,4.466900060710643,2.1585780088999624,2.069371615152806,0.0192632111877554,16870,1.0,0.0728525956950449,Siletti,Upper rhombic lip
Misc_404,7.070910162997074,3.425660457299674,2.0641012882435,0.0195116861560685,16870,1.0,0.0732416278843469,Siletti,Miscellaneous
DLIT_136,6.422593788111681,3.128984116768243,2.052613100109063,0.0200627564585957,16870,1.0,0.0747523444346198,Siletti,Deep-layer intratelencephalic
URL_312,2.3487789470071823,1.1603458834312856,2.0242058687376505,0.0214823527558094,16870,1.0,0.0794531135012658,Siletti,Upper rhombic lip
Splat_357,3.773692222899641,1.908078864228267,1.9777443656271156,0.0239869025417518,16870,1.0,0.0880687005730013,Siletti,Splatter
COP_41,6.764511610504479,3.4425104621556053,1.964993769770195,0.0247156739539483,16870,1.0,0.0900868405712755,Siletti,Committed oligodendrocyte precursor
Splat_428,5.910778015028933,3.0157923163905904,1.9599419969685337,0.0250095064186908,16870,1.0,0.0905020268244711,Siletti,Splatter
Splat_393,8.702199314884899,4.4583409189320955,1.951891852399958,0.0254837862938006,16870,1.0,0.0915596036127266,Siletti,Splatter
Splat_358,10.003025009888582,5.205471496340522,1.921636688803458,0.0273341603914816,16870,1.0,0.0972861708663537,Siletti,Splatter
Misc_168,8.636340570483759,4.4990994795742845,1.9195709296254435,0.0274644856123702,16870,1.0,0.0972861708663537,Siletti,Miscellaneous
Midi_441,9.76295646821071,5.095128903419518,1.9161353232218423,0.0276823794281686,16870,1.0,0.0973722856809009,Siletti,Midbrain-derived inhibitory
Pvalb_14,4.242579981718842,2.227713389891965,1.9044550349111968,0.0284339724641011,16870,1.0,0.0993214454822423,SEA-AD,
Splat_394,4.646832206498063,2.449143733926426,1.897329316417187,0.0289007761905267,16870,1.0,0.100255796026448,Siletti,Splatter
Pvalb_13,5.35581124958521,2.8328544762159455,1.890605851642392,0.0293470524516842,16870,1.0,0.1011066259123093,SEA-AD,
URL_309,6.826580182513762,3.6175717353958943,1.8870614549863751,0.0295846095062539,16870,1.0,0.1012316910316037,Siletti,Upper rhombic lip
Mmb_332,8.122712724352295,4.340077035819846,1.8715595730935928,0.0306424288802864,16870,1.0,0.1041428495052978,Siletti,Mammillary body
