# MEAN_SAMPLE_SIZE = 90909
# TOTAL_GENES = 15981
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
Type290      COVAR   15981        10.32     0.018761       4.9061     0.017717
Type291      COVAR   15981       14.605     0.025448       5.2872    0.0028742
Type292      COVAR   15981       5.2455     0.011945       3.7669     0.081892
Type293      COVAR   15981       14.077     0.024834       5.1456    0.0031154
Type294      COVAR   15981       7.9931     0.012366       5.8733     0.086779
Type295      COVAR   15981       10.362     0.015555       6.0942     0.044551
Type296      COVAR   15981       5.9059     0.010334       5.1445       0.1255
Type297      COVAR   15981       24.846     0.034353       6.7202   0.00010944
Type298      COVAR   15981       43.876     0.050165       8.1413   3.5954e-08
Type299      COVAR   15981       18.382     0.027369       6.1855    0.0014828
Type300      COVAR   15981       22.452     0.034875       5.8997   7.1021e-05
Type301      COVAR   15981       27.042       0.0384       6.4947   1.5751e-05
Type302      COVAR   15981       19.621     0.034913       4.9718   3.9876e-05
Type303      COVAR   15981       11.869     0.022005       4.7974    0.0066852
Type304      COVAR   15981       20.169     0.034278       5.3279   7.7041e-05
Type305      COVAR   15981       31.035     0.040868       7.0133   4.8549e-06
Type306      COVAR   15981       28.421     0.041436       6.2641   2.8762e-06
Type307      COVAR   15981       35.664     0.045054       7.2871   4.9938e-07
Type308      COVAR   15981       41.462      0.05441       7.1549   3.4933e-09
Type309      COVAR   15981       52.993     0.061433       7.9858   1.6739e-11
Type310      COVAR   15981        36.78     0.050235         6.54   9.5266e-09
Type311      COVAR   15981       35.791     0.048853       6.7801    6.601e-08
Type312      COVAR   15981       51.353     0.063105       7.7761   2.0767e-11
Type313      COVAR   15981       43.101     0.053075       7.5967   7.1347e-09
Type314      COVAR   15981       55.617     0.067862       7.7624    4.095e-13
Type315      COVAR   15981       55.249     0.063862       8.1733   7.1955e-12
Type316      COVAR   15981       26.198      0.03569       6.9849   8.8551e-05
Type317      COVAR   15981       52.029     0.057597       8.4411   3.6515e-10
Type318      COVAR   15981       31.372     0.039764        7.253   7.6705e-06
Type319      COVAR   15981       21.461     0.027144       7.1249    0.0012998
Type320      COVAR   15981       9.5377     0.016029       5.4105     0.038977
Type321      COVAR   15981        12.59      0.01757       6.5756     0.027776
Type322      COVAR   15981       39.232     0.047039        7.742   2.0427e-07
Type323      COVAR   15981       38.025     0.050751       7.1014   4.3571e-08
Type324      COVAR   15981       48.875     0.059888       7.7431   1.4208e-10
Type325      COVAR   15981       51.283     0.065155       7.4682    3.427e-12
Type326      COVAR   15981        37.53     0.050283       7.0621   5.4414e-08
Type327      COVAR   15981       36.276     0.046708       7.2894   3.2768e-07
Type328      COVAR   15981       36.565     0.047125       7.3487   3.2912e-07
Type329      COVAR   15981        53.07     0.062085       8.0566   2.3266e-11
Type330      COVAR   15981       45.887     0.058687       7.3936   2.7921e-10
Type331      COVAR   15981       50.998     0.064814       7.4273   3.4417e-12
Type332      COVAR   15981       53.306     0.063645        7.926   9.1113e-12
Type333      COVAR   15981        39.73     0.051324       7.3331   3.0669e-08
Type334      COVAR   15981       41.127      0.05647       6.9144   1.3901e-09
Type335      COVAR   15981       16.309     0.023592       6.1129    0.0038194
Type336      COVAR   15981       17.742     0.031555       5.0229   0.00020668
Type337      COVAR   15981       1.3253     0.011039       1.0632      0.10629
Type338      COVAR   15981        4.129    0.0077744       4.9138      0.20038
