,Sst_1,Sst_10,Sst_11,Sst_12,Sst_13,Sst_19,Sst_2,Sst_20,Sst_22,Sst_23,Sst_25,Sst_3,Sst_4,Sst_5,Sst_7,Sst_9
GMPR2,0.07422304261501363,0.0810682111228891,0.03865896806457088,0.07474465813332853,0.07598167225204627,0.06566788793014261,0.06190203969662679,0.06468762596786139,0.04803867007615271,0.07170703166643741,0.04832815817965054,0.05798035696389294,0.08858944895874003,0.06939644732079009,0.1115205646183,0.07176688378866827
TINF2,0.058500985562146265,0.039666677990656464,0.04068700637928794,0.024798099465391393,0.0336880349046304,0.028994627370381155,0.031777427157259355,0.041774429517695194,0.03067760497731715,0.027662935367926404,0.026506495272683145,0.02207426714632493,0.0339060644452896,0.03038828899156064,0.033375024062416735,0.018361163632659338
TGM1,0.019346205409566438,0.009718943777900842,0.0055726385756478605,0.022387588044257795,0.01099983209539457,0.013395180222910925,0.00872076362027225,0.009078157849683506,0.005779397822865454,0.009612531831075402,0.01445024966876536,0.011294640959050563,0.004140904828129038,0.014911117632682712,0.013447856497945524,0.009724121633574034
RABGGTA,0.04452028584548038,0.030299283109101013,0.03372760835099546,0.025378056626803,0.03919520901134645,0.026774075229561305,0.014268698740162832,0.03738126000728405,0.0323228669772142,0.014694098147936445,0.024193007701089547,0.03440163504244681,0.05568997836738294,0.0432270019166011,0.02567974979059723,0.03257395379442544
AL096870.8,0.0,0.0064895126323447705,0.008647511607160497,0.01037372573610511,0.009811181012970285,0.008372489803864286,0.010171145207300608,0.004081652395637275,0.005948721839707185,0.012420397056272039,0.015718815406774746,0.006931441370693721,0.012101707861258592,0.013068518807771587,0.005191376922510388,0.013459678552434837
AL096870.6,0.0,0.001646823058505871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023438795449250895,0.0,0.0,0.0,0.0
DHRS1,0.12047638407490938,0.10567430426392949,0.08056182033661498,0.095470684569378,0.10201152190437178,0.09301152844122486,0.11443856318858528,0.10384479128755683,0.09163154192777373,0.12354896453537637,0.11812411663068877,0.08972798000284225,0.14611625645396806,0.10200094454200025,0.1276777206615204,0.08001673195363458
NOP9,0.051980708723241675,0.039330473178836416,0.026559395995512648,0.033210718378079374,0.03977705239290878,0.04600809080698498,0.03119092416767981,0.035959097885188016,0.0445587206588992,0.021717378866703236,0.02833054078780213,0.03241901739504681,0.040622763478468396,0.033993410126594355,0.0405467790091105,0.03431716592440836
CIDEB,0.0,0.0007625271569473334,0.0,0.0,0.0008771055208511929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LTB4R2,0.011518973273050927,0.0014730249496126542,0.0012175437002228647,0.006619535928179878,0.0043490855878096785,0.0011960886689455364,0.0013692968019525752,0.0009127419882118015,0.006667276648637809,0.002890533497922139,0.001482655503525809,0.004339870788763084,0.0,0.0037038716164212535,0.0035478238262132717,0.002934681211160233
LTB4R,0.006394526285935614,0.004257522030831911,0.005088326844139825,0.01170246564744499,0.014047901248588355,0.0026060414745447636,0.009596895940920502,0.0069758819752846835,0.011104890977551752,0.0008491810950577503,0.013310165738823451,0.011506930359299778,0.004640006833744375,0.009313351968240288,0.008118618167165907,0.014313633342511789
ADCY4,0.0,0.005848251214060083,0.0024275451583203396,0.0,0.0014564537424144118,0.001009579210398444,0.005486726994668165,0.0,0.0,0.0013940554518699824,0.0,0.0012269380029137904,0.002724059859535698,0.007552870714875639,0.0,0.0044649944993160485
RIPK3,0.0,0.0,0.0,0.0,0.0007691590095798533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NFATC4,0.0,0.0013009067661146133,0.0037227028441075088,0.0037629976346016023,0.003117185896980604,0.006743181674744715,0.0017349904027012164,0.0023496527376411355,0.0014162288339501304,0.002928661972529623,0.0,0.0009527795379248323,0.0,0.003427655344440888,0.0,0.0024016695412706138
NYNRIN,0.08093864695121017,0.07775818163268797,0.0895146367680891,0.07007478770811741,0.09026615087384586,0.07831536324862483,0.05461985906755609,0.07329550658099193,0.0577749111623942,0.06484153713030409,0.04645484311456155,0.06493016514259085,0.025561907010810552,0.04062149803711307,0.05564741861510245,0.04712022846809248
CBLN3,0.01658583561465251,0.0,0.001371354304069835,0.004838241722123316,0.0,0.004706534210115357,0.001668455896190038,0.0,0.0,0.0,0.0,0.0005590454034762146,0.006723764485612671,0.0,0.0031253740061389095,0.0
KHNYN,0.059603410224422816,0.006225825801907021,0.00954475666208233,0.05717851804170599,0.016587129381549773,0.049071971914850604,0.0033413283126710112,0.005880664210709305,0.013978439670845715,0.01229174319690836,0.009158714404478647,0.023600176757450318,0.04916433226996638,0.05731119731220888,0.03854615820622782,0.008089261787414427
SDR39U1,0.10371530836506701,0.10517663648954612,0.09781907645404524,0.09657145743338222,0.09873131382323952,0.09411193817684632,0.10476792049234285,0.10340699290331963,0.08502705728555837,0.11538475084463287,0.09997208992866831,0.08977334351137406,0.09431935354455433,0.10092010884393664,0.10596150103471415,0.10552167318694591
AL132800.1,0.0,0.0,0.0015933109126024258,0.0,0.001887355569271025,0.0,0.0014978248968931112,0.0014388283839238574,0.0029061923271066345,0.0,0.0014313906124011728,0.0010372474610432349,0.007184727559877598,0.0,0.005814748111442203,0.0008224170222084155
CMA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTSG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL136018.1,0.0,0.0,0.0,0.0,0.0,0.00201639678143455,0.0,0.0,0.002359750771685817,0.0,0.0008044061952919283,0.0003428845592736319,0.0022478395735338157,0.003902540213614752,0.0,0.0
