gene,logFC,logCPM,PValue,F,FDR,n_scz,n_ctrl,n_samples,n_genes_tested,celltype,cell_class
TIMP1,0.44098575978131305,6.833800710525263,0.016793280062241442,6.6584975389579215,0.32261081368128175,12,12,24,300,Astro_2,Non-neuronal
SERPINA3,1.3255692967242643,7.671247464503181,0.017300235862805068,6.588851795264117,0.32261081368128175,12,12,24,300,Astro_2,Non-neuronal
ALDH1A1,-0.38422332670245024,9.197424281815639,0.017796766740301753,6.52347502868607,0.32261081368128175,12,12,24,300,Astro_2,Non-neuronal
YWHAH,0.19415094648322556,11.944190982623073,0.02097876241140419,6.148336327482266,0.32261081368128175,12,12,24,300,Astro_2,Non-neuronal
SLC39A8,-0.4799715793758008,7.822806104768209,0.021249511531887578,6.119995039545586,0.32261081368128175,12,12,24,300,Astro_2,Non-neuronal
PLEC,0.3298145699038427,11.962521215076992,0.021454548739361843,6.09773217849365,0.32261081368128175,12,12,24,300,Astro_2,Non-neuronal
C4A,0.7945510975682349,10.994421165225011,0.02150738757875212,6.092190065298118,0.32261081368128175,12,12,24,300,Astro_2,Non-neuronal
FSTL4,0.1940629103921874,6.977872279961779,0.023020667396220253,5.940641634990413,0.32886667708886075,12,12,24,300,Astro_2,Non-neuronal
NOS1,0.30495748715073245,6.001806776068677,0.026384452232813972,5.638021853643376,0.34638479525413535,12,12,24,300,Astro_2,Non-neuronal
ARRDC3,0.5284775808815098,7.770222685564969,0.026556167636150377,5.622990203653349,0.34638479525413535,12,12,24,300,Astro_2,Non-neuronal
SERPING1,0.47815333817718736,9.121302299373518,0.028631681009917934,5.458036819819388,0.3578960126239742,12,12,24,300,Astro_2,Non-neuronal
USP22,0.15630887504053798,10.635642793519565,0.03092413860648843,5.290876013830951,0.37108966327786114,12,12,24,300,Astro_2,Non-neuronal
ALCAM,-0.2865216595887574,10.401112476785599,0.032329565688677654,5.195129849552024,0.3725707387823313,12,12,24,300,Astro_2,Non-neuronal
TXNIP,0.8271685197537361,9.683530983951107,0.03712305452722781,4.900551887655856,0.3725707387823313,12,12,24,300,Astro_2,Non-neuronal
DEAF1,0.21692867069317281,8.561889131943568,0.04055387129074879,4.714853513951059,0.3725707387823313,12,12,24,300,Astro_2,Non-neuronal
MOBP,0.2240224133739179,8.505287315085486,0.042305178189962905,4.62675504024959,0.3725707387823313,12,12,24,300,Astro_2,Non-neuronal
OTOS,0.3658085887617749,5.1992446834176524,0.0438419794479945,4.54855280052433,0.3725707387823313,12,12,24,300,Astro_2,Non-neuronal
GFAP,0.637396507933911,11.876189819760985,0.044315970446516875,4.530465967831486,0.3725707387823313,12,12,24,300,Astro_2,Non-neuronal
VAMP1,0.18492285639380096,10.29325137753839,0.044598086786856804,4.517363471078583,0.3725707387823313,12,12,24,300,Astro_2,Non-neuronal
RGS10,-0.3512566656315389,6.848287672107015,0.04553449059959861,4.475265672528973,0.3725707387823313,12,12,24,300,Astro_2,Non-neuronal
TSC22D3,0.30312227009318143,9.796915900009578,0.04601682367457466,4.4528393924536385,0.3725707387823313,12,12,24,300,Astro_2,Non-neuronal
LAMP5,-0.21857555475978607,7.974116755107993,0.04701471063790916,4.408955297752574,0.3725707387823313,12,12,24,300,Astro_2,Non-neuronal
DISC1,0.3545016494536973,5.847252667162192,0.04912711599344284,4.319277267865721,0.3725707387823313,12,12,24,300,Astro_2,Non-neuronal
RASD1,0.3678428333467452,8.456426222744383,0.04923078603031495,4.314653990963789,0.3725707387823313,12,12,24,300,Astro_2,Non-neuronal
COX5A,-0.1817024133849351,9.64190186246158,0.04924806719480301,4.313908895741343,0.3725707387823313,12,12,24,300,Astro_2,Non-neuronal
ZBTB16,0.19898391783434716,10.050438412349889,0.04959410304597145,4.299635356161232,0.3725707387823313,12,12,24,300,Astro_2,Non-neuronal
NRG1,0.19745454463836995,7.087191378416666,0.049676098504310845,4.296726275279959,0.3725707387823313,12,12,24,300,Astro_2,Non-neuronal
IRS2,-0.2077733343159012,11.036799534123283,0.05185344443487324,4.209177119101677,0.37528913899530786,12,12,24,300,Astro_2,Non-neuronal
