supertype,beta,se,p,k,I2,Q_p,dropped
L5 ET_2,0.08513301463277582,0.08235378851451655,0.30125426827571566,6,0,0.6138217086693655,Fröhlich
L5 IT_1,0.01879756570134156,0.06384067221041664,0.7684178973560207,6,0,0.9338910118929822,Fröhlich
L5 IT_2,0.040524770916039655,0.06859162463900204,0.5546462375975538,6,0,0.9147746215244263,Fröhlich
L5 IT_3,0.00923723746329615,0.07078078704171088,0.8961670008126024,6,9.932626644424676,0.35234261808473877,Fröhlich
L5 IT_5,0.002307148175775109,0.08528900530171689,0.978419100792277,6,21.24946096586575,0.27371065631605385,Fröhlich
L5 IT_6,0.03131335833681906,0.09043247373102004,0.7291455818713977,6,0,0.7772255958521418,Fröhlich
L5 IT_7,-0.004500116427600691,0.08483832334883785,0.9576972971093661,6,38.83949340106053,0.14684014081318572,Fröhlich
L5/6 NP_1,0.05074369536851765,0.07703461441989184,0.5100801384401739,6,0,0.44635010651168583,Fröhlich
L5/6 NP_2,0.2477333717890996,0.09442802759092313,0.00870275452445582,6,31.045105522085752,0.2026242555556445,Fröhlich
L5/6 NP_3,0.13613427537942827,0.13396306997850166,0.30953058941548633,2,49.07131479703494,0.16113629659217701,Fröhlich
L5/6 NP_4,0.16865306434951893,0.08159089379944846,0.038728741482150844,6,78.48506784070211,3.0374624640881433e-4,Fröhlich
L5/6 NP_6,0.1720327461883747,0.10790026800768947,0.11085361108796181,5,80.68147018983971,3.622071518881223e-4,Fröhlich
L6 CT_1,0.2124134946445148,0.10057450506361094,0.03468632994436293,6,77.3285200678281,5.113341772046098e-4,Fröhlich
L6 CT_2,0.11206125381335494,0.08457797918095639,0.18518906778345415,6,68.62977877427156,0.007021335773940498,Fröhlich
L6 CT_3,0.11711401787116131,0.08423378708928182,0.16442416386514022,6,0,0.9509146630535238,Fröhlich
L6 CT_4,0.2021394995360573,0.10699918543514927,0.05886924299527307,4,0,0.5472395855399126,Fröhlich
L6 IT Car3_1,0.023213212217519576,0.0933588058658228,0.8036352975327592,6,0,0.4810545757136311,Fröhlich
L6 IT Car3_2,0.035211503853512384,0.09781050056602102,0.7188492464321281,6,0,0.6361760332155596,Fröhlich
L6 IT Car3_3,0.06271601894002418,0.07637408141728676,0.41155007965437507,6,48.381852416539374,0.08462088488496937,Fröhlich
L6 IT_1,0.14233070488630056,0.08821323817164595,0.10663925754102592,6,0,0.8379207927197898,Fröhlich
L6 IT_2,0.13143494647185053,0.09142685071804275,0.15054849423111039,6,0,0.502454685210368,Fröhlich
L6b_1,0.6228969796104314,0.11668818770656766,9.390894474582235e-8,6,48.61994739005031,0.08321353806350566,Fröhlich
L6b_2,0.19376378183768173,0.09533143886556235,0.042100271321358164,6,51.89683370651707,0.06480277129796136,Fröhlich
L6b_3,0.28394582424276704,0.13794368490207065,0.03954998342030648,4,24.346290862393744,0.26522060256908486,Fröhlich
L6b_4,0.3226418917302639,0.08466660358225173,1.3855487853513645e-4,6,0,0.9149475408977771,Fröhlich
L6b_5,0.18217939113476872,0.10029314387573866,0.06929845241332394,5,49.764675785469954,0.09296065604437005,Fröhlich
L6b_6,0.09545205427182825,0.0926744126979719,0.30302312908768114,6,0,0.44115065853030305,Fröhlich
Lamp5_1,0.15659243655384114,0.08329945510296133,0.06012532300917616,6,38.28277855911298,0.15073155669305968,Fröhlich
Lamp5_2,0.027071956353139144,0.051226326272184576,0.5971680204155128,6,0,0.9466832917669386,Fröhlich
Lamp5_3,0.05242212226964896,0.07728568786664945,0.49758773086483077,6,51.51828958487289,0.0668327703865514,Fröhlich
Lamp5_4,0.09749028418579066,0.08067356169284105,0.22687269917347133,6,0,0.4884829396916294,Fröhlich
Lamp5_5,-0.038886142024382085,0.0746290512526633,0.6023256413414967,6,0,0.561734282201415,Fröhlich
Lamp5_6,0.13131880865906465,0.09267095587716528,0.15647010569009923,6,0,0.7871339436471276,Fröhlich
Lamp5_Lhx6_1,0.039129695596506094,0.05083835288803868,0.4414846931472426,6,0,0.9358909666686713,Fröhlich
Pax6_1,-0.0517229183514224,0.07394850672243078,0.48427393082261627,6,0,0.8247022159074222,Fröhlich
Pax6_2,0.17408985832712986,0.10648518914481821,0.10207548122714014,5,22.497408751195568,0.27116169395039297,Fröhlich
Pax6_3,0.09001265425444331,0.08544023747355858,0.29210458105712334,6,0,0.9371558393654679,Fröhlich
Pax6_4,0.08945657113710392,0.08581983336472611,0.29723719188744097,6,35.53340344961868,0.1702082400002325,Fröhlich
Pvalb_1,0.025020908468996034,0.06401255629902601,0.6958896278795244,6,11.866510979147183,0.33932600950892466,Fröhlich
Pvalb_10,0.07581105154580785,0.07199460446666213,0.2923363255701543,6,0,0.48206816419935394,Fröhlich
Pvalb_12,0.13591058283878946,0.07467035798655886,0.06873752956967745,6,0,0.7441578614723816,Fröhlich
Pvalb_13,0.04763019037353987,0.07098178633944495,0.5022078595353026,6,0,0.42510406323459976,Fröhlich
Pvalb_14,0.12854903177622065,0.07090798903308772,0.06984738013654097,6,34.526021844377965,0.17743196260897673,Fröhlich
Pvalb_15,-0.0709939424897867,0.05094938722213269,0.16349254040595526,6,3.315145515544527,0.39531782298538176,Fröhlich
Pvalb_2,-0.10384803151754657,0.0722273915851917,0.15049282169109607,6,25.634787250398475,0.24202342840261462,Fröhlich
Pvalb_3,-0.022830702133099092,0.0646917449322179,0.7241519916269443,6,8.093913390144154,0.36453260795379033,Fröhlich
Pvalb_5,-0.0629067912258487,0.07156412200133225,0.37938666864486115,6,0,0.5382308047533821,Fröhlich
