class,subclass,supertype,median_MERFISH,median_Xenium,n_MERFISH,n_Xenium,q25_MERFISH,q25_Xenium,q75_MERFISH,q75_Xenium,delta_median,iqr_MERFISH,iqr_Xenium
Glutamatergic,L6 IT,L6 IT_2,0.8018542700390032,0.8134861837109557,11587.0,15851.0,0.7394272080625877,0.6967347905197772,0.8541773691771475,0.855528318733314,0.011631913671952487,0.11475016111455982,0.15879352821353687
Glutamatergic,L6 IT Car3,L6 IT Car3_1,0.6064449027542703,0.7647965696356104,1474.0,2107.0,0.4757835556935324,0.6854498985490094,0.7010902985570074,0.8115109817789623,0.15835166688134006,0.22530674286347502,0.1260610832299529
Glutamatergic,L6 IT Car3,L6 IT Car3_2,0.6902346434388623,0.7998125426112035,2354.0,1582.0,0.529743700261287,0.7652603787202735,0.7656904770295979,0.8288810926907075,0.10957789917234118,0.23594677676831088,0.063620713970434
Glutamatergic,L6 IT Car3,L6 IT Car3_3,0.7448960197804646,0.7969726781219828,6178.0,1488.0,0.6841907119813498,0.7499466232610021,0.8016384177589715,0.8265119128366774,0.0520766583415182,0.11744770577762165,0.07656528957567521
Glutamatergic,L6b,L6b_1,0.8528074650191875,0.8888404504111347,227.0,70.0,0.7613642547434909,0.8050324892935838,0.9047900365466135,0.9167188321426598,0.036032985391947214,0.1434257818031226,0.11168634284907597
Glutamatergic,L6b,L6b_2,0.8496705658213405,0.8690959691192897,281.0,436.0,0.7726720748460577,0.7832225769431815,0.9065102616795273,0.9085767410185921,0.019425403297949173,0.1338381868334696,0.12535416407541056
Glutamatergic,L6b,L6b_3,0.7557092274687613,0.848963657348914,832.0,535.0,0.6530585203122914,0.8059363444246394,0.8360569545709972,0.8824526243199198,0.09325442988015265,0.18299843425870577,0.07651627989528043
Glutamatergic,L6b,L6b_4,0.8417112705960776,0.8779330497725565,184.0,261.0,0.7711955786326379,0.840137118284758,0.8851367606823605,0.9118279428122834,0.03622177917647884,0.11394118204972259,0.0716908245275254
Glutamatergic,L6b,L6b_5,0.7760798410529812,0.8614651894324948,1418.0,1105.0,0.7060046408041011,0.8207879369503482,0.8521276180103879,0.8955682981442067,0.08538534837951361,0.14612297720628686,0.07478036119385845
Glutamatergic,L6b,L6b_6,0.7962871609854022,0.8499356387263115,3357.0,4460.0,0.7292862431595896,0.8087597636251019,0.8618583226923441,0.8826761614754648,0.053648477740909306,0.13257207953275452,0.07391639785036286
