cell,t_ms,v_mV,i_pA
Sst_25,342.46,-64.75625,-90.0
Sst_25,343.4200000000001,-64.75625,-90.0
Sst_25,344.38,-64.725006,-90.0
Sst_25,345.34,-64.7125,-90.0
Sst_25,346.30000000000007,-64.70625,-90.0
Sst_25,347.26,-64.71875,-90.0
Sst_25,348.21999999999997,-64.68125,-90.0
Sst_25,349.18000000000006,-64.73125,-90.0
Sst_25,350.14,-64.6625,-90.0
Sst_25,351.09999999999997,-64.65625,-90.0
Sst_25,352.06000000000006,-64.6625,-90.0
Sst_25,353.02,-64.6375,-90.0
Sst_25,353.9800000000001,-64.65001,-90.0
Sst_25,354.94000000000005,-64.6375,-90.0
Sst_25,355.9,-64.6375,-90.0
Sst_25,356.86000000000007,-64.51875,-90.0
Sst_25,357.82000000000005,-64.581245,-90.0
Sst_25,358.78,-64.56875,-90.0
Sst_25,359.74000000000007,-64.5875,-90.0
Sst_25,360.70000000000005,-64.55626,-90.0
Sst_25,361.65999999999997,-64.6,-90.0
Sst_25,362.62000000000006,-64.5125,-90.0
Sst_25,363.58000000000004,-64.51875,-90.0
Sst_25,364.53999999999996,-64.54375,-90.0
Sst_25,365.50000000000006,-64.50001,-90.0
Sst_25,366.46000000000004,-64.506256,-90.0
Sst_25,367.41999999999996,-64.55626,-90.0
Sst_25,368.38000000000005,-64.55626,-90.0
Sst_25,369.34,-64.6,-90.0
Sst_25,370.30000000000007,-64.581245,-90.0
Sst_25,371.26000000000005,-64.631256,-90.0
Sst_25,372.21999999999997,-64.56875,-90.0
Sst_25,373.18000000000006,-64.5625,-90.0
Sst_25,374.14000000000004,-64.6,-90.0
Sst_25,375.09999999999997,-64.5875,-90.0
Sst_25,376.06000000000006,-64.55626,-90.0
Sst_25,377.02000000000004,-64.54375,-90.0
Sst_25,377.97999999999996,-64.581245,-90.0
Sst_25,378.94000000000005,-64.56875,-90.0
Sst_25,379.90000000000003,-64.549995,-90.0
Sst_25,380.85999999999996,-64.5625,-90.0
Sst_25,381.82000000000005,-64.52501,-90.0
Sst_25,382.78000000000003,-64.581245,-90.0
Sst_25,383.73999999999995,-64.61875,-90.0
Sst_25,384.70000000000005,-64.54375,-90.0
Sst_25,385.66,-64.5125,-90.0
Sst_25,386.62000000000006,-64.56875,-90.0
Sst_25,387.58000000000004,-64.54375,-90.0
Sst_25,388.54,-64.55626,-90.0
Sst_25,389.50000000000006,-64.581245,-90.0
Sst_25,390.46000000000004,-64.59376,-90.0
Sst_25,391.42,-64.6,-90.0
Sst_25,392.38000000000005,-64.53125,-90.0
Sst_25,393.34000000000003,-64.53125,-90.0
Sst_25,394.3,-64.5125,-90.0
Sst_25,395.26000000000005,-64.53125,-90.0
