symbol,specificity,P,neg_log10_p,p_fdr,is_driver,is_hcn1
GABBR2,0.0033356106759767,1.6732e-05,4.776452144091407,0.000358918244295302,True,False
ANKS6,0.0019044699296704,0.06462,1.1896330463183749,0.17333939979859014,False,False
GALNT12,0.0009940029511377,0.091807,1.037124203924327,0.21745481947532236,False,False
COL15A1,5.446688514232603e-05,0.19179,0.7171740408464732,0.3463994610169492,False,False
TGFBR1,0.0001925620757108,0.23446,0.6299312393499482,0.3916430438871473,False,False
ALG2,0.001023738497615,0.45152,0.3453230079257462,0.5835145657447841,False,False
SEC61B,0.0012505610149527,0.42658,0.3699995100990884,0.5630771438011068,False,False
NR4A3,0.0001370508803809,0.066531,1.1769759488037923,0.1766459396909786,False,False
STX17,0.0014757072386665,0.09159,1.0381519409816757,0.2171017190744586,False,False
ERP44,0.001678282137599,0.0025281,2.597205751359097,0.018306101540552785,False,False
INVS,0.0019021847099359,0.0015608,2.8066527436135384,0.012844049845520083,False,False
TEX10,0.0018825659552989,0.073279,1.1350204658883116,0.18821467357762775,False,False
MSANTD3,0.0018913126081114,0.013346,1.8746488794852476,0.060215252964426876,False,False
TMEFF1,0.0027213216831189,0.0024186,2.616435951463305,0.017770872,False,False
MURC,0.0023332908216318,6.3142e-05,4.199681666105386,0.0010444831240951395,False,False
MRPL50,0.0011430525589624,0.96177,0.016928773776721695,0.9656371407928629,False,False
ZNF189,0.001080887023258,0.7623,0.11787408022996823,0.8130759060268303,False,False
ALDOB,0.0011352160009777,0.94946,0.02252332702512129,0.955338404583517,False,False
RNF20,0.0019532756796449,0.030138,1.520885571456807,0.10372164534883721,False,False
GRIN3A,0.0069540574102926,0.11374,0.9440867760838513,0.2480095989633065,False,False
PPP3R2,0.0224335177820692,0.10818,0.9658530228939544,0.24095081649714364,False,False
CYLC2,0.0,0.73679,0.1326562771845666,0.7953259574468086,False,False
SMC2,0.0021295546795005,0.095975,1.0178418792105575,0.2237643067833698,False,False
OR13F1,0.0,0.7059,0.1512568181043163,0.773263946123792,False,False
OR13C4,0.0022994125481203,0.3465,0.4602967610521745,0.4958732425897734,False,False
OR13C3,0.000843717856647,0.3215,0.49281902273975914,0.47396200129115557,False,False
OR13C8,0.0,0.43917,0.3573673344947842,0.5733007546553414,False,False
OR13C5,0.0016128975129938,0.76168,0.11822744785111186,0.8129029036997463,False,False
OR13C2,0.0,0.69603,0.1573720412031285,0.7670681628853183,False,False
OR13C9,0.0028242288482616,0.57069,0.24359973737371357,0.6754700703599468,False,False
OR13D1,0.0,0.18153,0.7410515923479097,0.33503071139854484,False,False
NIPSNAP3A,0.0019710337665658,0.5266,0.2785191452299507,0.6419217848970251,False,False
NIPSNAP3B,0.0018242262132509,0.77294,0.11185421718162372,0.821054673046252,False,False
ABCA1,0.0016892278177365,0.33536,0.4744887390323862,0.48614129523809524,False,False
SLC44A1,0.0014142979459128,0.04329,1.3636124141868433,0.13260829787234044,False,False
FSD1L,0.0014243622358365,0.20862,0.680644058933098,0.3651649748083242,False,False
FKTN,0.0017596322693391,0.25744,0.5893239732450457,0.41372229864253396,False,False
TAL2,0.0010764180133089,0.035979,1.443950911599618,0.1171516705378973,False,False
TMEM38B,0.0015078030854882,0.028683,1.5423754270869425,0.10021491539134236,False,False
ZNF462,0.0025228721812538,0.041185,1.3852609296802971,0.12812487541366555,False,False
RAD23B,0.0017894399627146,0.0013626,2.8656316153966213,0.011663476486341725,False,False
KLF4,0.0001234592499923,0.64467,0.19066253940205333,0.7294527676295667,False,False
ACTL7B,0.0,0.12199,0.9136757686926149,0.25933519553072626,False,False
ACTL7A,0.0,0.41462,0.38234975270008287,0.5537996741037854,False,False
IKBKAP,0.002191837930202,0.012804,1.8926543345279052,0.05843880239862936,False,False
FAM206A,0.0018828818680136,0.0046533,2.3322389474356533,0.028361703775743704,False,False
CTNNAL1,0.0022873300373378,0.0034208,2.465872316471316,0.022423217719442164,False,False
TMEM245,0.0019332020392387,0.011965,1.9220872970505438,0.05564978608847497,False,False
