gene,estimate,se,zval,pval,k,ci.lb,ci.ub,tau2,I2,stratum,padj
DPP9,-0.010570965814651672,0.08975706966401996,-0.1177730718507308,0.9062474665768305,7,-0.1864915897139834,0.16534965808468008,0.021142804176316202,45.59669169253074,depleted,0.9818318662185604
DPY19L1,0.0154302894308365,0.06485907907418484,0.23790484926848202,0.8119548943144874,7,-0.11169116962500124,0.14255174848667423,0,0,depleted,0.9637261915096934
DPY19L2,0.12924496137064123,0.03914397370092983,3.3017843910816635,9.607188789056467e-4,7,0.05252418270503573,0.20596574003624674,1.361559896897633e-6,0.011435920186938807,depleted,0.19401281069100032
DPY19L3,0.006615031672058039,0.04122168012785632,0.16047457676495355,0.8725072468784267,7,-0.07417797676077079,0.08740804010488687,4.3133810146963644e-6,0.03086187511306313,depleted,0.9739536757007219
DPY19L4,0.04794747189006641,0.042824947347226666,1.1196154311949544,0.26287767687367064,7,-0.035987882550321974,0.13188282633045478,0,0,depleted,0.7540246903434045
DPY30,0.0015736941060893257,0.03945620974667162,0.03988457371331966,0.968185149710607,7,-0.07575905596384529,0.07890644417602395,0,0,depleted,0.9935670053072814
DPYD,0.20681851996012854,0.08518398287064477,2.427903849884439,0.015186368754784988,7,0.03986098147398792,0.37377605844626915,0.017612450646852986,38.58108884318324,depleted,0.3987588599512928
DPYS,0.060028391634424354,0.08073715974254636,0.7435038813087076,0.4571766725364806,7,-0.09821353367502364,0.21827031694387236,0.008324611505469138,18.515266071713164,depleted,0.8557615742853436
DPYSL2,0.06456329743533533,0.03129138113779147,2.063293312335148,0.03908476908000706,7,0.003233317378748074,0.12589327749192258,9.97543841669629e-4,14.40495880816637,depleted,0.49499946427780894
DPYSL3,0.2335216089056033,0.13734777365032752,1.7002212900816573,0.0890893090897987,6,-0.03567508080579801,0.5027182986170047,0.041518293658556915,39.908488094171474,depleted,0.6044116915133241
DPYSL4,-0.09924199068063709,0.06300206911348083,-1.5752179583480037,0.11520614337500218,7,-0.2227237770945628,0.024239795733288647,5.437384003567569e-8,1.704086398441731e-4,depleted,0.6357927446164722
DPYSL5,-0.07514713694700305,0.03661334370507974,-2.052452175696183,0.04012573829820258,7,-0.14690797196254562,-0.0033863019314604725,0,0,depleted,0.49705973319912455
DR1,0.04450263347982197,0.08312922227990491,0.5353428344364498,0.5924128117957845,7,-0.11842764825161628,0.20743291521126023,0.01653976473488898,40.223037193239925,depleted,0.9065760678721105
DRAIC,-0.019043094804656137,0.07189446533111209,-0.26487567181913935,0.7911052402261748,7,-0.15995365754139934,0.12186746793208708,0,0,depleted,0.9571683990405363
DRAM2,0.022643264979891543,0.0418490861951756,0.54106951999592,0.5884596660270935,7,-0.05937943674856498,0.10466596670834806,3.8241856479612865e-10,2.5706366881932574e-6,depleted,0.9056266088420308
DRAP1,-0.2731566936180105,0.08630993686211993,-3.164834821445625,0.0015517101432246771,5,-0.44232106137569155,-0.10399232586032942,0,0,depleted,0.2146093158468494
DRC1,-0.05504128967701328,0.07502075486803855,-0.7336808297094699,0.4631432848452551,6,-0.20207926731137676,0.09199668795735022,0,0,depleted,0.8580064714998936
DRC3,0.1898709372468198,0.2709810492781119,0.7006797624875695,0.48350288844157363,5,-0.341242159831153,0.7209840343247926,0.21634656042239706,75.98735737782206,depleted,0.8654415629302263
DRD3,-0.3137860935003389,0.14867916442016846,-2.1104913706239095,0.03481605368209752,5,-0.6051919010153781,-0.02238028598529973,0,0,depleted,0.4843658363347782
DRG1,0.002718510214961954,0.05139987480373762,0.05288943261714469,0.9578200041626955,7,-0.09802339321023155,0.10346041364015547,0.002723855979580371,14.546991860425885,depleted,0.9916117141037476
