pathway,pval,padj,log2err,ES,NES,size,leadingEdge,signature,source
GOBP_ALCOHOL_METABOLIC_PROCESS,0.030793401413982718,0.36471997262461503,0.10216770010846951,-0.2705146962461026,-1.3227543630222784,195,STARD3|PARK7|GBA2|IDH2|CYP46A1|RBP4|GOT1|DHRSX|SPTLC2|MVD|DHDDS|DHRS7|LBR|RDH11|DGKQ|TM7SF2|FGFR1|SREBF2|PTS|FGF1|IGF1|FKRP|RETSAT|MBTPS2|ABCA2|ACADVL|DGAT1|NPC1|IDH3A|LDLR|ADCYAP1R1|SGPP1|INPP5J|SPTSSB|DPM2|SRD5A3|ABCG1|NPC2|AKR1B1|MSMO1|IDI1|OSBPL5|ERRFI1|BMP6|GDE1|ASAH1|SREBF1|ALDH3A2|LIPE|ALDH1A2|HMGCR|ITPKB|IDH3G|LIPA|MBTPS1|NUDT4|HDLBP|IPPK|FDPS|CFTR|PPARD|PECR|ACLY|AKR1C3|ISYNA1|FMO5|DHCR24|CYP2R1,depleted,C5:GO:BP
GOBP_ALDEHYDE_METABOLIC_PROCESS,0.19252568189868935,0.6552239622112098,0.04132235974128661,-0.33418248566685854,-1.2053698175400647,36,PARK7|IDH2|RBP4|GATD1|RDH11|GRHPR|TALDO1|BCO2|BMP6|ALDH3A2|ALDH1A2,depleted,C5:GO:BP
GOBP_ALDITOL_METABOLIC_PROCESS,0.6463441093512693,0.9021335185310486,0.022151099576043973,0.32559281262202,0.8536552089329118,10,SORD|GK|GPD2|DGAT2,depleted,C5:GO:BP
GOBP_ALPHA_AMINO_ACID_BIOSYNTHETIC_PROCESS,0.5307964601769911,0.8630672165857763,0.02204563971998494,-0.27007066985901784,-0.9488930639512317,32,PLOD3|PARK7|GOT1|GOT2|APIP,depleted,C5:GO:BP
GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS,0.7600300902708125,0.927136242482012,0.021878771067737182,0.18782944755947942,0.8719778737816642,101,HIBCH|RIDA|ATP2B4|HIBADH|MTHFS|ACAT1|NADSYN1|BAAT|MECP2|ALDH8A1|SHMT1|HMGCLL1|GLUL|AUH|ACADSB|ALDH18A1|SERINC3|MTHFR|DDAH1|CTH|PSPH|AFMID,depleted,C5:GO:BP
GOBP_ALPHA_BETA_T_CELL_ACTIVATION,0.3767726161369193,0.7963456612635555,0.03380788505062605,0.23120980423938203,1.0359330844349233,82,HMGB1|CBLB|KMT2A|IL6ST|PDP2|ZBTB16|OPA1|CD247|RIPK2|JAK3|NCR3LG1|RC3H2|RUNX1|TOX|RC3H1|BCL11B|STAT4|PIK3R1|NFKBIZ|CD55|KLHL25|JAK2|TNFSF4|FOXP1,depleted,C5:GO:BP
GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION,0.08477796247922109,0.518312686476691,0.07503473757509971,0.3086573577196046,1.2947011658694767,59,HMGB1|KMT2A|IL6ST|PDP2|ZBTB16|OPA1|RIPK2|JAK3|RC3H2|RUNX1|TOX|RC3H1|BCL11B|STAT4|PIK3R1|NFKBIZ|KLHL25|TNFSF4|FOXP1|AP3B1,depleted,C5:GO:BP
GOBP_ALPHA_BETA_T_CELL_PROLIFERATION,0.3366174055829228,0.770701497863999,0.03033632400642057,-0.36628694232937664,-1.0909350790528123,17,ITCH|ARG2|TYK2|PRKCQ,depleted,C5:GO:BP
GOBP_ALPHA_LINOLENIC_ACID_METABOLIC_PROCESS,0.2632381782523426,0.719605812709261,0.03893037926026274,0.4041296289540798,1.1548246417595176,13,ABCD2|ELOVL1|ELOVL5|TMEM135|ACSL4|SCP2,depleted,C5:GO:BP
GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME,0.24080095841177476,0.694572254851786,0.03566083251120444,-0.2790012267919936,-1.136507232819577,64,RNPS1|RBFOX3|RBM8A|HNRNPM|STRAP|SRSF2|SAP18|THRAP3|SFPQ|RBM5|MAGOH|RBFOX1|NCBP2|SRRM4|RBM20|RBMX,depleted,C5:GO:BP
